Name,Player Number,Position,Team Name,Height,College / Home Club,league
Skylar Fields,27.0,"Outside Hitter, Opposite Hitter",Orlando Valkyries,6'3,USC,pvf
Jill Gillen,10.0,Outside Hitter,Orlando Valkyries,5'7,Arkansas,pvf
Carly Graham,22.0,Setter,Orlando Valkyries,6'0,Rice,pvf
Abby Hansen,19.0,Middle Blocker,Orlando Valkyries,6'5,University of Central Florida,pvf
Maddie McLaughlin,3.0,Middle Blocker,Orlando Valkyries,6'2,Arizona State,pvf
Blake Mohler,7.0,Middle Blocker,Orlando Valkyries,6'2,Purdue,pvf
Georgia Murphy,5.0,Libero,Orlando Valkyries,5'6,Oregon,pvf
Wilma Rivera,12.0,Setter,Orlando Valkyries,5'8,Louisville,pvf
Courtney Schwan,24.0,Outside Hitter,Orlando Valkyries,6'1,Washington,pvf
Carly Skjodt,18.0,Outside Hitter,Orlando Valkyries,6'1,Michigan,pvf
Azhani Tealer,21.0,Opposite Hitter,Orlando Valkyries,5'10,Kentucky,pvf
M'Kaela White,9.0,Middle Blocker,Orlando Valkyries,6'4,James Madison,pvf
Kalyah Williams,13.0,Opposite Hitter,Orlando Valkyries,6'0,USC,pvf
Yeliz Başa,11.0,Opposite Hitter,San Diego Mojo,6'2,,pvf
Rosir Calderón,,Outside Hitter,San Diego Mojo,6'3,,pvf
Anna Church,,Libero,San Diego Mojo,5'8,Kansas,pvf
Kylie Cole,6.0,Setter,San Diego Mojo,6'1,NC State,pvf
Kendra Dahlke,3.0,Outside Hitter,San Diego Mojo,6'0,Arizona,pvf
Erin Fairs,51.0,Outside Hitter,San Diego Mojo,5'10,Louisville,pvf
Rainelle Jones,1.0,Middle Blocker,San Diego Mojo,6'3,Maryland,pvf
DaYeong Lee,,Setter,San Diego Mojo,5'10,,pvf
Kayla Lund,28.0,Outside Hitter,San Diego Mojo,6'0,Pittsburgh,pvf
Oluoma Okaro,,Opposite Hitter,San Diego Mojo,6'1,Arizona State,pvf
Lauren Page,,Middle Blocker,San Diego Mojo,6'0,Oregon,pvf
Regan Pittman,24.0,Middle Blocker,San Diego Mojo,6'4,Minnesota,pvf
Sarah Sponcil,12.0,"Libero, Setter",San Diego Mojo,5'8,"UCLA, Loyola Marymount",pvf
Ronika Stone,7.0,Middle Blocker,San Diego Mojo,6'2,Oregon,pvf
Shara Venegas,2.0,Libero,San Diego Mojo,5'7,Universidad Metropolitana,pvf
Anota Adekunle,,Middle Blocker,Vegas Thrill,6'2,Rice,pvf
Alisha Glass Childress,6.0,Setter,Vegas Thrill,6'0,Penn State,pvf
Carly Graham,22.0,Setter,Vegas Thrill,6'0,Rice,pvf
