#,Name,Class,Position,Height,Hometown,High School,team_id,conference_short,conference_name,team_name,division,team_short
1,Bryley Steinhilber,Sr.,OH,5-10,"Kennedale, TX",Kennedale HS,2,WAC,Western Athletic Conference,Abilene Christian University,D-I,Abilene Christian
28,Nieko Thomas,Jr.,MB,6-2,"West Hills, CA",Taft HS,2,WAC,Western Athletic Conference,Abilene Christian University,D-I,Abilene Christian
9,Ashli Edmiston,Jr.,OH,5-8,"Wilsonville, OR",Wilsonville HS,2,WAC,Western Athletic Conference,Abilene Christian University,D-I,Abilene Christian
10,Madeline Guffy,Sr.,S,5-6,"Krum, TX",Krum HS,2,WAC,Western Athletic Conference,Abilene Christian University,D-I,Abilene Christian
13,Sara Carrizales,Jr.,L/DS,5-8,"Arlington, TX",Arlington HS,2,WAC,Western Athletic Conference,Abilene Christian University,D-I,Abilene Christian
21,Alexis Strong,So.,OH,6-1,"Louisville, KY",Assumption HS,2,WAC,Western Athletic Conference,Abilene Christian University,D-I,Abilene Christian
18,Sasha Stotler,So.,MB,6-4,"Quincy, OH",Riverside HS,2,WAC,Western Athletic Conference,Abilene Christian University,D-I,Abilene Christian
7,Hannah Gonzalez,So.,MB,6-3,"Lucas, TX",Lovejoy HS,2,WAC,Western Athletic Conference,Abilene Christian University,D-I,Abilene Christian
12,Abby Christian,So.,L/DS,5-9,"Kansas City, MO",Liberty North HS,2,WAC,Western Athletic Conference,Abilene Christian University,D-I,Abilene Christian
4,Rachel Koss,So.,S,5-11,"Appleton, WI",Freedom HS,2,WAC,Western Athletic Conference,Abilene Christian University,D-I,Abilene Christian
11,Izabelle Larson,So.,OH,5-11,"San Jose, CA",East Side Union HS,2,WAC,Western Athletic Conference,Abilene Christian University,D-I,Abilene Christian
2,Avery Thaler,Fr.,MB,5-10,"Fairfield, TX",Fairfield HS,2,WAC,Western Athletic Conference,Abilene Christian University,D-I,Abilene Christian
5,Courtney Church,Fr.,OH,6-0,"Driftwood, TX",Veritas Academy,2,WAC,Western Athletic Conference,Abilene Christian University,D-I,Abilene Christian
6,Delanna Harper,Fr.,L/DS,5-2,"Mckinney, TX",Emerson HS,2,WAC,Western Athletic Conference,Abilene Christian University,D-I,Abilene Christian
8,Annaleise Sevier,Fr.,OH,6-0,"Aubrey, TX",Aubrey HS,2,WAC,Western Athletic Conference,Abilene Christian University,D-I,Abilene Christian
14,Sydney Payne,Fr.,S,5-9,"Argyle, TX",Argyle HS,2,WAC,Western Athletic Conference,Abilene Christian University,D-I,Abilene Christian
16,Paige Jones,Fr.,OH,5-8,"Odessa, TX",Compass Academy Charter School,2,WAC,Western Athletic Conference,Abilene Christian University,D-I,Abilene Christian
2,Isabelle Percoco,Sr.,RS,6-0,"Charlotte, NC",South Mecklenburg,5,MAC,Mid-American Conference,University of Akron,D-I,Akron
9,Melisa Tore,Sr.,MB,6-3,"Istanbul, Turkey",Anabilim,5,MAC,Mid-American Conference,University of Akron,D-I,Akron
20,Lauren Baker,Sr.,OH,5-11,"Osceola, IN",Penn,5,MAC,Mid-American Conference,University of Akron,D-I,Akron
10,Sammie Sabra,Jr.,OH,5-9,"San Pedro, CA",Mary Star of the Sea,5,MAC,Mid-American Conference,University of Akron,D-I,Akron
17,Karleighana Jones,Sr.,MB,6-3,"White Plains, NY",White Plains,5,MAC,Mid-American Conference,University of Akron,D-I,Akron
6,Ellen Kinnaird,Sr.,RS,5-11,"Lewis Center, OH",Olentangy,5,MAC,Mid-American Conference,University of Akron,D-I,Akron
12,Gabby Brissett,Jr.,RS,5-10,"Coral Springs, FL",Calvary Christian Academy,5,MAC,Mid-American Conference,University of Akron,D-I,Akron
1,Vanessa Del Real,So.,L,5-6,"Crown Point, IN",Crown Point,5,MAC,Mid-American Conference,University of Akron,D-I,Akron
15,Sarah Bettis,So.,OH,6-1,"Blissfield, MI",Blissfield,5,MAC,Mid-American Conference,University of Akron,D-I,Akron
4,Emanouela Christodoulou,Sr.,OH,6-0,"Eretria, Greece",,5,MAC,Mid-American Conference,University of Akron,D-I,Akron
11,Sophie Twigg,So.,L,5-9,"Sylvania, OH",Bowling Green,5,MAC,Mid-American Conference,University of Akron,D-I,Akron
18,Eliska Vytiskova,So.,S,5-9,,,5,MAC,Mid-American Conference,University of Akron,D-I,Akron
22,Chidera Ozoh,So.,MB,6-0,"Hazel Crest, IL",Homewood Flossmoor,5,MAC,Mid-American Conference,University of Akron,D-I,Akron
3,Payton Evans,Fr.,S,5-6,"Cincinnati, OH",Mason,5,MAC,Mid-American Conference,University of Akron,D-I,Akron
5,Martina Villani,So.,S,6-2,"Tradate, Italy",Liceo Leonardo Da Vinci,5,MAC,Mid-American Conference,University of Akron,D-I,Akron
7,Reilly Chausse,Fr.,L,5-4,"Orland Park, IL",Carl Sandburg,5,MAC,Mid-American Conference,University of Akron,D-I,Akron
21,Evridiki Eleftheriadou,Fr.,OH,6-1,"Mytilene, Greece",,5,MAC,Mid-American Conference,University of Akron,D-I,Akron
13,Delaney Gash,Fr.,OH,5-11,"Lexington, KY",Paul Laurence Dunbar,5,MAC,Mid-American Conference,University of Akron,D-I,Akron
21,Keyara Brooks,Sr.,S,5-11,"Arlington, TX",,6,SWAC,Southwestern Athletic Conf.,Alabama A&M University,D-I,Alabama A&M
32,Ryann Tolbert,Sr.,RS,6-0,"Southfield, MI",,6,SWAC,Southwestern Athletic Conf.,Alabama A&M University,D-I,Alabama A&M
2,Saldy Amparo Smith,Sr.,OH,6-2,"Santo Domingo, Dominican Republic",,6,SWAC,Southwestern Athletic Conf.,Alabama A&M University,D-I,Alabama A&M
22,Saniya Spalding,Jr.,MB,6-0,"Merrillville, IN",,6,SWAC,Southwestern Athletic Conf.,Alabama A&M University,D-I,Alabama A&M
4,Caitlin Shaw,Jr.,OH,6-1,"Desoto, TX",,6,SWAC,Southwestern Athletic Conf.,Alabama A&M University,D-I,Alabama A&M
6,Bailey Duckett,Jr.,OH,5-10,"Huntsville, AL",,6,SWAC,Southwestern Athletic Conf.,Alabama A&M University,D-I,Alabama A&M
9,Kennedy Robinson,Jr.,L/DS,5-5,"Montgomery, AL",,6,SWAC,Southwestern Athletic Conf.,Alabama A&M University,D-I,Alabama A&M
11,Mackenzie Jarvis,Jr.,DS,5-6,"Detroit, MI",,6,SWAC,Southwestern Athletic Conf.,Alabama A&M University,D-I,Alabama A&M
34,Grace Tapscott,Jr.,S,5-10,"Hartselle, AL",,6,SWAC,Southwestern Athletic Conf.,Alabama A&M University,D-I,Alabama A&M
16,Kemora Coachman,Jr.,MB,5-9,"Huntsville, AL",,6,SWAC,Southwestern Athletic Conf.,Alabama A&M University,D-I,Alabama A&M
25,Wendy Martinez Martinez,Sr.,MB,6-3,"Medellin, Colombia",,6,SWAC,Southwestern Athletic Conf.,Alabama A&M University,D-I,Alabama A&M
7,Nevaeh Johnson,So.,MB,6-3,"Desoto, TX",,6,SWAC,Southwestern Athletic Conf.,Alabama A&M University,D-I,Alabama A&M
3,Michell Jerez Jerez,Sr.,L,5-5,"Santo Domingo, Dominican Republic",,6,SWAC,Southwestern Athletic Conf.,Alabama A&M University,D-I,Alabama A&M
14,Myiah Porter,Sr.,RS,5-11,"Rockford, IL",,6,SWAC,Southwestern Athletic Conf.,Alabama A&M University,D-I,Alabama A&M
5,Caitlyn Hollinquest,Fr.,OH,5-9,"Suwanee, GA",North Gwinnett HS,6,SWAC,Southwestern Athletic Conf.,Alabama A&M University,D-I,Alabama A&M
1,Tam Nguyen,So.,DS,5-1,"Huntsville, AL",,6,SWAC,Southwestern Athletic Conf.,Alabama A&M University,D-I,Alabama A&M
0,Nisaan Martinez,Fr.,MB,6-3,"Belmopan, Belize",,6,SWAC,Southwestern Athletic Conf.,Alabama A&M University,D-I,Alabama A&M
8,Madison Raybon,Sr.,RS,6-1,"Huntsville, AL",,6,SWAC,Southwestern Athletic Conf.,Alabama A&M University,D-I,Alabama A&M
12,Fatima Ramirez,Sr.,OH,6-2,"Belmopan, Belize",,6,SWAC,Southwestern Athletic Conf.,Alabama A&M University,D-I,Alabama A&M
13,Laela Price,Jr.,S,5-7,"Port Charlotte, FL",,6,SWAC,Southwestern Athletic Conf.,Alabama A&M University,D-I,Alabama A&M
20,Alyssa Williams,Fr.,RS,6-6,"Corona, CA",,6,SWAC,Southwestern Athletic Conf.,Alabama A&M University,D-I,Alabama A&M
23,Apsen Creekmore,Fr.,OH,6-1,"Loganville, GA",,6,SWAC,Southwestern Athletic Conf.,Alabama A&M University,D-I,Alabama A&M
24,Madison Drummond,Fr.,DS,5-6,"Baltimore, MD",,6,SWAC,Southwestern Athletic Conf.,Alabama A&M University,D-I,Alabama A&M
15,Nhya Morgan,Fr.,MB,6-0,"Limón, Costa Rica",,6,SWAC,Southwestern Athletic Conf.,Alabama A&M University,D-I,Alabama A&M
20,Zanobia Willis,Sr.,MB,6-0,"Dallas, TX",,7,SWAC,Southwestern Athletic Conf.,Alabama State University,D-I,Alabama St.
12,Christyn Ashby,Sr.,OH,6-0,"Atlanta, GA",Riverwood HS,7,SWAC,Southwestern Athletic Conf.,Alabama State University,D-I,Alabama St.
11,A'Nylah Cobb,Sr.,RS,5-10,"Tallahassee, FL",Leon HS,7,SWAC,Southwestern Athletic Conf.,Alabama State University,D-I,Alabama St.
1,Jyriah Morgan,So.,OH,5-11,"Pleasant Grove, AL",,7,SWAC,Southwestern Athletic Conf.,Alabama State University,D-I,Alabama St.
2,Laila Wooldridge,Jr.,MB,6-1,"Coral Springs, FL",Coral Glades,7,SWAC,Southwestern Athletic Conf.,Alabama State University,D-I,Alabama St.
23,Temperance Chatman,Sr.,DS,5-1,"Jasper, AK",Jasper HS,7,SWAC,Southwestern Athletic Conf.,Alabama State University,D-I,Alabama St.
19,Brooke Adams,Jr.,S,5-6,"Cypress, TX",Bridgeland HS,7,SWAC,Southwestern Athletic Conf.,Alabama State University,D-I,Alabama St.
16,Essence Jones,So.,MH,5-11,"Alpharetta, GA",Alpharetta HS,7,SWAC,Southwestern Athletic Conf.,Alabama State University,D-I,Alabama St.
22,Kaylen Hines,So.,MH,6-0,"South Holland, IL",Thornwood HS,7,SWAC,Southwestern Athletic Conf.,Alabama State University,D-I,Alabama St.
3,Norielle Battle,Fr.,OH,5-9,"Gilbert, AR",,7,SWAC,Southwestern Athletic Conf.,Alabama State University,D-I,Alabama St.
4,Camille Clarke,Jr.,DS,5-4,"Salt Lake City, UT",,7,SWAC,Southwestern Athletic Conf.,Alabama State University,D-I,Alabama St.
5,Sierra Scanlan,Jr.,S,5-8,,,7,SWAC,Southwestern Athletic Conf.,Alabama State University,D-I,Alabama St.
7,Jayli Nealy,Jr.,RS,6-3,"Los Angeles, CA",,7,SWAC,Southwestern Athletic Conf.,Alabama State University,D-I,Alabama St.
8,Taylor Williams,Fr.,OH,5-10,"Cypress, TX",,7,SWAC,Southwestern Athletic Conf.,Alabama State University,D-I,Alabama St.
21,Breanna Swanson,Fr.,DS,5-3,"Cypress, TX",,7,SWAC,Southwestern Athletic Conf.,Alabama State University,D-I,Alabama St.
99,Lyndsay Harris,Fr.,RS,6-0,"Huntingtn Bch, CA",,7,SWAC,Southwestern Athletic Conf.,Alabama State University,D-I,Alabama St.
14,Kamrynn Clay,Fr.,S,5-8,"Saint Hedwig, TX",,7,SWAC,Southwestern Athletic Conf.,Alabama State University,D-I,Alabama St.
6,Bailee Payne,Fr.,OH,5-10,"Baytown, TX",Sterling,7,SWAC,Southwestern Athletic Conf.,Alabama State University,D-I,Alabama St.
24,Natalie Repetti,Sr.,L,5-10,"Cypress, CA",Cypress HS,8,SEC,Southeastern Conference,University of Alabama,D-I,Alabama
23,Chaise Campbell,Sr.,MB,6-3,,,8,SEC,Southeastern Conference,University of Alabama,D-I,Alabama
9,Kayla Keshock,Sr.,S,6-1,"Spanish Fort, AL",,8,SEC,Southeastern Conference,University of Alabama,D-I,Alabama
21,Francesca Bertucci,Sr.,DS,5-5,,,8,SEC,Southeastern Conference,University of Alabama,D-I,Alabama
10,Malia Moore,Sr.,S,5-8,,,8,SEC,Southeastern Conference,University of Alabama,D-I,Alabama
17,Paris Thompson,Sr.,OH,6-1,"Fort Myers, FL",,8,SEC,Southeastern Conference,University of Alabama,D-I,Alabama
16,Sophie Agee,So.,OH,6-2,"Houston, TX",,8,SEC,Southeastern Conference,University of Alabama,D-I,Alabama
2,Callie Kieffer,So.,S,5-10,,,8,SEC,Southeastern Conference,University of Alabama,D-I,Alabama
3,Allison Berent,So.,DS,5-7,,,8,SEC,Southeastern Conference,University of Alabama,D-I,Alabama
4,Jordyn Towns,So.,MB,6-6,,,8,SEC,Southeastern Conference,University of Alabama,D-I,Alabama
11,Kaleigh Palmer,So.,OH,6-4,,,8,SEC,Southeastern Conference,University of Alabama,D-I,Alabama
12,Gabbi LeBlanc,So.,S,5-8,,,8,SEC,Southeastern Conference,University of Alabama,D-I,Alabama
15,Lilly Hopkins,So.,DS,5-6,,,8,SEC,Southeastern Conference,University of Alabama,D-I,Alabama
22,Kyla Dunaway,So.,OH,6-4,,,8,SEC,Southeastern Conference,University of Alabama,D-I,Alabama
6,Ashby Daniel,Fr.,MB,6-3,"Murphy, TX",Plano East Senior HS,8,SEC,Southeastern Conference,University of Alabama,D-I,Alabama
7,Ellery Rees,Fr.,MB,6-3,"Chicago, IL",Mother McAuley,8,SEC,Southeastern Conference,University of Alabama,D-I,Alabama
8,Lindsey Brown,Fr.,DS,5-7,,Edgewood Academy,8,SEC,Southeastern Conference,University of Alabama,D-I,Alabama
14,Addison Engel,Fr.,MB,6-5,"Niwot, CO",Niwot HS,8,SEC,Southeastern Conference,University of Alabama,D-I,Alabama
18,Leilia Toailoa,Fr.,OH,6-2,"Las Vegas, NV",Bishop Gorman HS,8,SEC,Southeastern Conference,University of Alabama,D-I,Alabama
27,Hannah Parant,Fr.,S,6-1,"Mountain Brook, AL",Mountain Brook HS,8,SEC,Southeastern Conference,University of Alabama,D-I,Alabama
16,Asli Celikkol,Sr.,OH,6-2,"Izmir, Turkey",,9,AAC,American Athletic Conference,University of Alabama at Birmingham,D-I,UAB
4,Anna Hewitt,Sr.,L/DS,5-9,"Bowling Green, KY",Greenwood,9,AAC,American Athletic Conference,University of Alabama at Birmingham,D-I,UAB
21,Chloe Rodriguez,Sr.,MB,6-2,"Portland, TX",Gregory Portland,9,AAC,American Athletic Conference,University of Alabama at Birmingham,D-I,UAB
15,Madison Page,Sr.,MB,6-0,"Marietta, GA",Kell,9,AAC,American Athletic Conference,University of Alabama at Birmingham,D-I,UAB
11,Izabella Carter,Jr.,S,5-11,"Lexington, KY",Bryan Station,9,AAC,American Athletic Conference,University of Alabama at Birmingham,D-I,UAB
12,Delaney Bowser,Jr.,DS,5-9,"McCordsville, IN",Mt. Vernon,9,AAC,American Athletic Conference,University of Alabama at Birmingham,D-I,UAB
13,Kelsey Smith,Jr.,S,5-11,"Cicero, IN",Hamilton Heights,9,AAC,American Athletic Conference,University of Alabama at Birmingham,D-I,UAB
2,Jorda Crook,So.,OPP,6-0,"Ohatchee, AL",Ohatchee,9,AAC,American Athletic Conference,University of Alabama at Birmingham,D-I,UAB
7,Brooklyn Allison,So.,L/DS,5-6,"Birmingham, AL",Spain Park,9,AAC,American Athletic Conference,University of Alabama at Birmingham,D-I,UAB
10,Katia Nikolic,So.,OH,6-0,"St. John, IN",Lake Central,9,AAC,American Athletic Conference,University of Alabama at Birmingham,D-I,UAB
24,Mia Reese,So.,OH,6-0,"Nashville, TN",Hillsboro,9,AAC,American Athletic Conference,University of Alabama at Birmingham,D-I,UAB
23,Summer Snead,So.,MB,6-1,"Nashville, TN",Hillsboro,9,AAC,American Athletic Conference,University of Alabama at Birmingham,D-I,UAB
3,Abby Jones,Fr.,OH,6-0,"Johns Creek, GA",Johns Creek,9,AAC,American Athletic Conference,University of Alabama at Birmingham,D-I,UAB
5,Meg Jarrett,Fr.,L/DS,5-7,"Madison, AL",Bob Jones,9,AAC,American Athletic Conference,University of Alabama at Birmingham,D-I,UAB
8,Shayla Henry,Fr.,OH,5-10,"Port Saint Lucie, FL",Port St. Lucie West,9,AAC,American Athletic Conference,University of Alabama at Birmingham,D-I,UAB
18,Annastiina Tarkkanen,Fr.,S,5-10,"Orivesi, Finland",,9,AAC,American Athletic Conference,University of Alabama at Birmingham,D-I,UAB
17,Elisavet Papageorgiou,Sr.,OPP,6-0,"Ilioupoli, Greece",1st High School of Iliopoulis,14,AE,America East Conference,University at Albany,D-I,UAlbany
22,Kendall Harris,Sr.,OPP,5-10,"Houston, TX",St. Agnes Academy,14,AE,America East Conference,University at Albany,D-I,UAlbany
4,Shynelle Woroniuk,Sr.,OH,6-0,"Red Deer, Canada",Notre Dame,14,AE,America East Conference,University at Albany,D-I,UAlbany
20,Zosia Szczotkiewicz,Sr.,S,6-2,"Walcz, Poland",SMS PZPS Szczryk,14,AE,America East Conference,University at Albany,D-I,UAlbany
3,Gabriella Karman,Jr.,MB,6-1,"Orlando, FL",Lake Nona,14,AE,America East Conference,University at Albany,D-I,UAlbany
2,Brooke Malek,Jr.,L/DS,5-7,"Edmonton, Canada",Harry Ainley,14,AE,America East Conference,University at Albany,D-I,UAlbany
7,Anna Myhal,Jr.,OH,5-11,"Poltava, Ukraine","High Sports School (Stezyca, Poland)",14,AE,America East Conference,University at Albany,D-I,UAlbany
12,Tori Wilson,Jr.,MB,6-0,"Allen, TX",Allen,14,AE,America East Conference,University at Albany,D-I,UAlbany
16,Emilia Kuzniar,So.,S,5-10,"Przemysl, Poland",Sports Championship,14,AE,America East Conference,University at Albany,D-I,UAlbany
14,Campbell Robinson,So.,MB,6-2,"Cincinnati, OH",Milford,14,AE,America East Conference,University at Albany,D-I,UAlbany
8,Sthefany Carvalho,Sr.,L/DS,5-6,"Uberlandia, Brazil",Colegio Nacional - Uberlndia,14,AE,America East Conference,University at Albany,D-I,UAlbany
1,Maria Olga Siapani,Fr.,S,5-8,"Limassol, Cyprus",Grammar School of Limassol,14,AE,America East Conference,University at Albany,D-I,UAlbany
5,Kiki Provatas,Fr.,L/DS,5-6,"Palm Harbor, FL",Calvary Christian,14,AE,America East Conference,University at Albany,D-I,UAlbany
9,Kasia Barletta,Fr.,L/DS,5-4,"Clifton Park, NY",Shenendehowa,14,AE,America East Conference,University at Albany,D-I,UAlbany
11,Nia Gibson,Fr.,RS,6-0,"Bowie, MD",Elizabeth Seton,14,AE,America East Conference,University at Albany,D-I,UAlbany
15,Sabrina Kinkaid,Fr.,MB,6-2,"Ballston Lake, NY",Shenendehowa,14,AE,America East Conference,University at Albany,D-I,UAlbany
6,Dora Filipovic,Jr.,OH,6-1,"Zagreb, Croatia",Gymnasium Lucijan Vranjanin,14,AE,America East Conference,University at Albany,D-I,UAlbany
4,Cayla Williams,So.,RS,5-9,"Midlothian, TX",Midlothian Heritage,17,SWAC,Southwestern Athletic Conf.,Alcorn State University,D-I,Alcorn
9,Ramona Pulu,Jr.,S,5-9,"Henderson, NV",Liberty,17,SWAC,Southwestern Athletic Conf.,Alcorn State University,D-I,Alcorn
0,Demya Tate,Jr.,MB,6-1,"Chandler, AZ",Hamilton,17,SWAC,Southwestern Athletic Conf.,Alcorn State University,D-I,Alcorn
14,Jalayah Hamby,So.,MB,5-11,"Jeffersonville, IN",Jeffersonville,17,SWAC,Southwestern Athletic Conf.,Alcorn State University,D-I,Alcorn
20,Brooklyn Shook,Sr.,DS,5-6,"Wichita, KS",Wichita Northwest,17,SWAC,Southwestern Athletic Conf.,Alcorn State University,D-I,Alcorn
21,Harmoni Carswell,So.,DS,5-5,"Atlanta, GA",Fort Walton,17,SWAC,Southwestern Athletic Conf.,Alcorn State University,D-I,Alcorn
3,Andria Lewis,Jr.,DS,5-1,"Baton Rouge, LA",Scotlandville Magnet,17,SWAC,Southwestern Athletic Conf.,Alcorn State University,D-I,Alcorn
6,Sa'Mya Tate,So.,DS,5-6,"Port Gibson, MS",Port Gibson,17,SWAC,Southwestern Athletic Conf.,Alcorn State University,D-I,Alcorn
1,Sydney Valentine,Fr.,OH,5-10,"Anaheim, CA",Canyon,17,SWAC,Southwestern Athletic Conf.,Alcorn State University,D-I,Alcorn
2,Bailey Upshaw,Fr.,MB,5-11,"La Porte, TX",La Porte,17,SWAC,Southwestern Athletic Conf.,Alcorn State University,D-I,Alcorn
5,Kasey Watkins,Fr.,OH,5-8,"Cedar Hill, TX",Cedar Hill,17,SWAC,Southwestern Athletic Conf.,Alcorn State University,D-I,Alcorn
7,Erin Mims,Fr.,OH,5-8,"Amarillo, TX",Dalo Duro,17,SWAC,Southwestern Athletic Conf.,Alcorn State University,D-I,Alcorn
8,Paris Johnson,Fr.,OH,5-11,"Horn Lake, MS",Horn Lake,17,SWAC,Southwestern Athletic Conf.,Alcorn State University,D-I,Alcorn
11,Kennedy Brooks,Fr.,OH,5-8,"Madison, MS",Ridgeland,17,SWAC,Southwestern Athletic Conf.,Alcorn State University,D-I,Alcorn
13,Michaela Branner,Fr.,OH,6-1,"Oakland, CA",Skyline,17,SWAC,Southwestern Athletic Conf.,Alcorn State University,D-I,Alcorn
17,Kayla Jones,Fr.,OH,5-8,"Spring, TX",MacArthur,17,SWAC,Southwestern Athletic Conf.,Alcorn State University,D-I,Alcorn
6,Bridget Javitch,Sr.,L/DS,5-7,"Westerville, OH",St. Francis DeSales,23,PL,Patriot League,American University,D-I,American
17,Esma Sipahi,Sr.,S,6-0,"Istanbul, Turkey",TED Istanbul College,23,PL,Patriot League,American University,D-I,American
9,Lilou Stegeman,Sr.,MB,6-2,"Lutz, FL",George Steinbrenner,23,PL,Patriot League,American University,D-I,American
10,Adelina Berisha,Jr.,OH,6-2,"Scotch Plains, NJ",Scotch Plains-Fanwood,23,PL,Patriot League,American University,D-I,American
11,Holly Hopkins,So.,OH,6-0,"Newport Beach, CA",Mater Dei,23,PL,Patriot League,American University,D-I,American
7,Maddy Stewart,So.,S,6-1,"Annapolis, MD",Broadneck,23,PL,Patriot League,American University,D-I,American
13,Maiden McLoughlin,So.,OH,5-11,"Charlotte, NC",Providence Day School,23,PL,Patriot League,American University,D-I,American
23,Carly Sciborski,So.,OPP,6-4,"Chapel Hill, NC",Chapel Hill,23,PL,Patriot League,American University,D-I,American
12,Sofia Osterdahl,So.,OH,5-11,"Stockholm, Sweden",llebergsgymnasiet,23,PL,Patriot League,American University,D-I,American
4,Emma Blankenship,Fr.,MB,6-0,"Cleveland, OH",Notre Dame Cathedral Latin,23,PL,Patriot League,American University,D-I,American
3,Bella Marrero,Fr.,L,5-6,"Burbank, CA",Campbell Hall,23,PL,Patriot League,American University,D-I,American
5,Deniz Dakak,Fr.,S,6-0,"Istanbul, Turkey",Irmak,23,PL,Patriot League,American University,D-I,American
8,Sophia Nagy,Fr.,MB,6-1,"Budapest, Hungary",Obudai Arpad Gimnazium,23,PL,Patriot League,American University,D-I,American
14,Elise Sterling,Fr.,MB,6-0,"Orland Park, IL",Carl Sandburg,23,PL,Patriot League,American University,D-I,American
18,Zedo Yilmaz,Fr.,OH,6-1,"Istanbul, Turkey",Kemerburgaz Okyanus,23,PL,Patriot League,American University,D-I,American
25,Olga Gergacz,Fr.,OH,6-2,"Gencsapati, Hungary",Bekescsabai Gimnazium,23,PL,Patriot League,American University,D-I,American
8,Cierra Huntley,Sr.,OH,5-10,"Huntersville, NC",Davidson Day School,27,SBC,Sun Belt Conference,Appalachian State University,D-I,App State
4,Addison Heidemann,Jr.,S,5-10,"Diller, NE",Diller-Odell,27,SBC,Sun Belt Conference,Appalachian State University,D-I,App State
1,Lulu Ambrose,Sr.,OH,6-1,"Fort Mill, SC",Fort Mill,27,SBC,Sun Belt Conference,Appalachian State University,D-I,App State
6,Lauren Pledger,Sr.,MB,6-1,"Charlotte, NC",Mountain Island Charter School,27,SBC,Sun Belt Conference,Appalachian State University,D-I,App State
15,Kenady Roper,Jr.,L/DS,5-8,"Morganton, NC",Patton,27,SBC,Sun Belt Conference,Appalachian State University,D-I,App State
2,Maya Winterhoff,Jr.,MB,6-2,"Charlottesville, VA",Albermarle,27,SBC,Sun Belt Conference,Appalachian State University,D-I,App State
5,Caroline Farthing,So.,L/DS,5-9,"Boone, NC",Watauga,27,SBC,Sun Belt Conference,Appalachian State University,D-I,App State
23,Delanie Grevengoed,So.,RS,6-2,"South Holland, IL",Chicago Christian,27,SBC,Sun Belt Conference,Appalachian State University,D-I,App State
12,Akila Hardie,So.,MB,6-0,"High Point, NC",Southwest Guilford,27,SBC,Sun Belt Conference,Appalachian State University,D-I,App State
7,Ava Leahy,So.,MB,6-1,"Charlotte, NC",,27,SBC,Sun Belt Conference,Appalachian State University,D-I,App State
22,Taylor McNear,So.,L/DS,5-6,"Grand Rapids, MN",Green Hope,27,SBC,Sun Belt Conference,Appalachian State University,D-I,App State
3,Julianna Horta,Fr.,S,5-10,"Clayton, NC",Corinth Holders,27,SBC,Sun Belt Conference,Appalachian State University,D-I,App State
10,Bella Hutchens,Fr.,OH,5-11,"Pilot Mountain, NC",East Surry,27,SBC,Sun Belt Conference,Appalachian State University,D-I,App State
13,Elise Marchal,Fr.,RS,6-1,"Kings Mills, OH",Kings Mills,27,SBC,Sun Belt Conference,Appalachian State University,D-I,App State
20,Maddie Smith,Fr.,OH,6-0,"Hickory, NC",University Christian,27,SBC,Sun Belt Conference,Appalachian State University,D-I,App State
11,Mary Shroll,Jr.,L,5-8,"Tempe, AZ",Corona Del Sol HS,28,Big 12,Big 12 Conference,Arizona State University,D-I,Arizona St.
23,Claire Jeter,Sr.,MB,6-3,"Missouri City, TX",Ridge Point HS,28,Big 12,Big 12 Conference,Arizona State University,D-I,Arizona St.
12,Argentina Ung,Sr.,S,6-0,"Sonora, Mexico",Instituto Anglo-Mexicano,28,Big 12,Big 12 Conference,Arizona State University,D-I,Arizona St.
4,Shania Cromartie,Sr.,OH,5-9,"Tallahassee, FL",Leon HS,28,Big 12,Big 12 Conference,Arizona State University,D-I,Arizona St.
18,Roberta Rabelo,Sr.,OH,6-0,"Porto Alegre, Brazil",Grmio Nutico Unio,28,Big 12,Big 12 Conference,Arizona State University,D-I,Arizona St.
15,Savannah Kjolhede,Sr.,MB,6-3,"Colleyville, TX",Grapevine HS,28,Big 12,Big 12 Conference,Arizona State University,D-I,Arizona St.
8,Geli Cyr,Sr.,OH,5-10,"Flower Mound, TX",Flower Mound HS,28,Big 12,Big 12 Conference,Arizona State University,D-I,Arizona St.
2,Estella Zatechka,Jr.,L/DS,5-8,"Omaha, NE",Elkhorn South HS,28,Big 12,Big 12 Conference,Arizona State University,D-I,Arizona St.
22,Bailey Miller,Jr.,OH,6-3,"Quinlan, TX",Boles HS,28,Big 12,Big 12 Conference,Arizona State University,D-I,Arizona St.
27,Brynn Covell,So.,S,6-0,"Raleigh, NC",NC Volleyball Academy,28,Big 12,Big 12 Conference,Arizona State University,D-I,Arizona St.
14,Jillian Neal,So.,OH,6-2,"San Diego, CA",Del Norte HS,28,Big 12,Big 12 Conference,Arizona State University,D-I,Arizona St.
21,Hokulani Perez,So.,MB,6-0,"Honolulu, HI",Moanalua HS,28,Big 12,Big 12 Conference,Arizona State University,D-I,Arizona St.
1,Bella Faria,Fr.,L/DS,5-9,"Springfield, MO",Kickapoo HS,28,Big 12,Big 12 Conference,Arizona State University,D-I,Arizona St.
43,Kiylah Presley,Fr.,OH,6-0,"Laurel, MD",Bishop McNamara HS,28,Big 12,Big 12 Conference,Arizona State University,D-I,Arizona St.
13,Piper Rama,Fr.,L/DS,5-8,"Phoenix, AZ",Sandra Day O'Connor HS,28,Big 12,Big 12 Conference,Arizona State University,D-I,Arizona St.
6,Jadyn Wilgus,Fr.,MB,6-2,"Austin, TX",Rouse HS,28,Big 12,Big 12 Conference,Arizona State University,D-I,Arizona St.
