date,location,home_team_id,away_team_id,home_team_name,away_team_name,league
2025-01-15,Austin,lovb-austin-volleyball,lovb-atlanta-volleyball,Austin,Atlanta,lovb
2025-01-17,Madison,lovb-madison-volleyball,lovb-salt-lake-volleyball,Madison,Salt Lake,lovb
2025-01-18,Madison,lovb-salt-lake-volleyball,lovb-houston-volleyball,Salt Lake,Houston,lovb
2025-01-22,Salt Lake,lovb-salt-lake-volleyball,lovb-houston-volleyball,Salt Lake,Houston,lovb
2025-01-24,Omaha,lovb-omaha-volleyball,lovb-madison-volleyball,Omaha,Madison,lovb
2025-01-25,Omaha,lovb-madison-volleyball,lovb-atlanta-volleyball,Madison,Atlanta,lovb
2025-01-29,Madison,lovb-madison-volleyball,lovb-houston-volleyball,Madison,Houston,lovb
2025-01-31,Atlanta,lovb-atlanta-volleyball,lovb-salt-lake-volleyball,Atlanta,Salt Lake,lovb
2025-02-01,Atlanta,lovb-salt-lake-volleyball,lovb-austin-volleyball,Salt Lake,Austin,lovb
2025-02-05,Austin,lovb-austin-volleyball,lovb-houston-volleyball,Austin,Houston,lovb
2025-02-07,Salt Lake,lovb-salt-lake-volleyball,lovb-atlanta-volleyball,Salt Lake,Atlanta,lovb
2025-02-08,Salt Lake,lovb-atlanta-volleyball,lovb-madison-volleyball,Atlanta,Madison,lovb
2025-02-14,Kansas City,,,LOVB,LOVB,lovb
2025-02-15,Kansas City,,,LOVB,LOVB,lovb
2025-02-16,Kansas City,,,LOVB,LOVB,lovb
2025-02-19,Austin,lovb-austin-volleyball,lovb-houston-volleyball,Austin,Houston,lovb
2025-02-20,Austin,lovb-houston-volleyball,lovb-omaha-volleyball,Houston,Omaha,lovb
2025-02-21,Atlanta,lovb-atlanta-volleyball,lovb-madison-volleyball,Atlanta,Madison,lovb
2025-02-27,Houston,lovb-houston-volleyball,lovb-salt-lake-volleyball,Houston,Salt Lake,lovb
2025-02-28,Madison,lovb-madison-volleyball,lovb-omaha-volleyball,Madison,Omaha,lovb
2025-03-01,Madison,lovb-omaha-volleyball,lovb-atlanta-volleyball,Omaha,Atlanta,lovb
2025-03-06,Omaha,lovb-omaha-volleyball,lovb-salt-lake-volleyball,Omaha,Salt Lake,lovb
2025-03-07,Atlanta,lovb-atlanta-volleyball,lovb-houston-volleyball,Atlanta,Houston,lovb
2025-03-08,Atlanta,lovb-houston-volleyball,lovb-madison-volleyball,Houston,Madison,lovb
2025-03-13,Madison,lovb-madison-volleyball,lovb-omaha-volleyball,Madison,Omaha,lovb
2025-03-14,Houston,lovb-houston-volleyball,lovb-atlanta-volleyball,Houston,Atlanta,lovb
2025-03-15,Houston,lovb-atlanta-volleyball,lovb-salt-lake-volleyball,Atlanta,Salt Lake,lovb
2025-03-20,Salt Lake,lovb-salt-lake-volleyball,lovb-madison-volleyball,Salt Lake,Madison,lovb
2025-03-21,Omaha,lovb-omaha-volleyball,lovb-austin-volleyball,Omaha,Austin,lovb
2025-03-22,Omaha,lovb-austin-volleyball,lovb-atlanta-volleyball,Austin,Atlanta,lovb
2025-03-27,Houston,lovb-houston-volleyball,lovb-atlanta-volleyball,Houston,Atlanta,lovb
2025-03-28,Austin,lovb-austin-volleyball,lovb-omaha-volleyball,Austin,Omaha,lovb
2025-03-29,Austin,lovb-omaha-volleyball,lovb-salt-lake-volleyball,Omaha,Salt Lake,lovb
2025-04-03,Omaha,lovb-omaha-volleyball,lovb-atlanta-volleyball,Omaha,Atlanta,lovb
2025-04-04,Salt Lake,lovb-salt-lake-volleyball,lovb-madison-volleyball,Salt Lake,Madison,lovb
2025-04-05,Salt Lake,lovb-madison-volleyball,lovb-houston-volleyball,Madison,Houston,lovb
2025-04-10,Louisville,,,LOVB,LOVB,lovb
2025-04-11,Louisville,,,LOVB,LOVB,lovb
2025-04-13,Louisville,,,LOVB,LOVB,lovb
