#,Name,Class,Position,Height,Hometown,High School,team_id,team_name,conference_name,school_url,school_athletic_url,state,division,year,team_short,conference_short
18,Ben Malicki,Jr.,S,6-0,,,85,"Buffalo State, State University of New York",Allegheny Mountain Collegiate Conference,www.buffalostate.edu,www.buffalostateathletics.com,NY,D-I,2024-25,Buffalo St.,AMCC
33,Hayden McCue,So.,MB,6-4,,,85,"Buffalo State, State University of New York",Allegheny Mountain Collegiate Conference,www.buffalostate.edu,www.buffalostateathletics.com,NY,D-I,2024-25,Buffalo St.,AMCC
2,Dom Schiavitti,So.,DB,5-9,,,85,"Buffalo State, State University of New York",Allegheny Mountain Collegiate Conference,www.buffalostate.edu,www.buffalostateathletics.com,NY,D-I,2024-25,Buffalo St.,AMCC
9,Gavin Wilczewski,So.,OH,6-2,,,85,"Buffalo State, State University of New York",Allegheny Mountain Collegiate Conference,www.buffalostate.edu,www.buffalostateathletics.com,NY,D-I,2024-25,Buffalo St.,AMCC
10,Jake Woelfel,So.,RS,6-5,,,85,"Buffalo State, State University of New York",Allegheny Mountain Collegiate Conference,www.buffalostate.edu,www.buffalostateathletics.com,NY,D-I,2024-25,Buffalo St.,AMCC
24,Adam Cramer,Jr.,DB,5-6,,,85,"Buffalo State, State University of New York",Allegheny Mountain Collegiate Conference,www.buffalostate.edu,www.buffalostateathletics.com,NY,D-I,2024-25,Buffalo St.,AMCC
1,Caden Crosier,So.,RS,5-9,,,85,"Buffalo State, State University of New York",Allegheny Mountain Collegiate Conference,www.buffalostate.edu,www.buffalostateathletics.com,NY,D-I,2024-25,Buffalo St.,AMCC
4,Kaden Strong,So.,MB,6-4,,,85,"Buffalo State, State University of New York",Allegheny Mountain Collegiate Conference,www.buffalostate.edu,www.buffalostateathletics.com,NY,D-I,2024-25,Buffalo St.,AMCC
3,Tommy Ragonese,Sr.,MH,6-7,,,1305,Cairn University,United East Conference,www.cairn.edu,www.cairnhighlanders.com,PA,D-I,2024-25,Cairn,United East
2,Josh Adler,Jr.,S,5-10,,,1305,Cairn University,United East Conference,www.cairn.edu,www.cairnhighlanders.com,PA,D-I,2024-25,Cairn,United East
7,Jireh Ang,So.,L,5-8,,,1305,Cairn University,United East Conference,www.cairn.edu,www.cairnhighlanders.com,PA,D-I,2024-25,Cairn,United East
13,Kobe Cash,Jr.,L,6-0,,,1305,Cairn University,United East Conference,www.cairn.edu,www.cairnhighlanders.com,PA,D-I,2024-25,Cairn,United East
8,Jake Gabriels,Sr.,OH,6-0,,,1305,Cairn University,United East Conference,www.cairn.edu,www.cairnhighlanders.com,PA,D-I,2024-25,Cairn,United East
6,Jesse Stuart,So.,OH,6-0,,,1305,Cairn University,United East Conference,www.cairn.edu,www.cairnhighlanders.com,PA,D-I,2024-25,Cairn,United East
14,David Larbi,Jr.,MH,6-3,,,1305,Cairn University,United East Conference,www.cairn.edu,www.cairnhighlanders.com,PA,D-I,2024-25,Cairn,United East
12,Sam Poirier,So.,OH,6-2,,,1305,Cairn University,United East Conference,www.cairn.edu,www.cairnhighlanders.com,PA,D-I,2024-25,Cairn,United East
20,Borys Horiuk,Sr.,MB,6-10,"Sacramento, CA",Jesuit High School,105,California Lutheran University,DIII Independent,www.callutheran.edu,www.clusports.com,CA,D-III,2024-25,Cal Lutheran,DIII Independent
6,Connor Crawford,Jr.,RS,6-5,"San Carlos, CA",Bellarmine College Prep,105,California Lutheran University,DIII Independent,www.callutheran.edu,www.clusports.com,CA,D-III,2024-25,Cal Lutheran,DIII Independent
9,Parker Brown,Sr.,MB,6-4,"San Diego, CA",Scripps Ranch High School,105,California Lutheran University,DIII Independent,www.callutheran.edu,www.clusports.com,CA,D-III,2024-25,Cal Lutheran,DIII Independent
15,Landen Meonske,So.,S,5-10,"Pleasanton, CA",Foothill High School,105,California Lutheran University,DIII Independent,www.callutheran.edu,www.clusports.com,CA,D-III,2024-25,Cal Lutheran,DIII Independent
17,Michael Stahl,Sr.,RS,6-5,"Northridge, CA",Bishop Alemany High School,105,California Lutheran University,DIII Independent,www.callutheran.edu,www.clusports.com,CA,D-III,2024-25,Cal Lutheran,DIII Independent
23,Braden Swenningsen,So.,OH,6-2,"San Diego, CA",Rancho Bernardo High School,105,California Lutheran University,DIII Independent,www.callutheran.edu,www.clusports.com,CA,D-III,2024-25,Cal Lutheran,DIII Independent
18,Matthew Wilcox,So.,MB,6-6,"Santa Barbara, CA",Dos Pueblos High School,105,California Lutheran University,DIII Independent,www.callutheran.edu,www.clusports.com,CA,D-III,2024-25,Cal Lutheran,DIII Independent
16,Jordan Cooper,Sr.,OH,6-4,"Roseville, CA",Oakmont High School,105,California Lutheran University,DIII Independent,www.callutheran.edu,www.clusports.com,CA,D-III,2024-25,Cal Lutheran,DIII Independent
7,Ben Weber,Sr.,OH,6-1,"Santa Margarita, CA",Tesoro High School,105,California Lutheran University,DIII Independent,www.callutheran.edu,www.clusports.com,CA,D-III,2024-25,Cal Lutheran,DIII Independent
2,Braden Gonzales,Jr.,L,5-9,"Thousand Oaks, CA",Thousand Oaks High School,105,California Lutheran University,DIII Independent,www.callutheran.edu,www.clusports.com,CA,D-III,2024-25,Cal Lutheran,DIII Independent
11,Max Chen,Fr.,L,6-0,"Taipei, Taiwan",Taipei American School,105,California Lutheran University,DIII Independent,www.callutheran.edu,www.clusports.com,CA,D-III,2024-25,Cal Lutheran,DIII Independent
5,Nathan Diaz,Jr.,S,6-3,"Granada Hills, CA",Royal High School,105,California Lutheran University,DIII Independent,www.callutheran.edu,www.clusports.com,CA,D-III,2024-25,Cal Lutheran,DIII Independent
8,Noah Smith-Slosar,So.,MB,6-5,"Templeton, CA",St. Joseph High School,105,California Lutheran University,DIII Independent,www.callutheran.edu,www.clusports.com,CA,D-III,2024-25,Cal Lutheran,DIII Independent
24,Tucker Carichner,Fr.,OH,6-4,"Torrance, CA",St. John Bosco High School,105,California Lutheran University,DIII Independent,www.callutheran.edu,www.clusports.com,CA,D-III,2024-25,Cal Lutheran,DIII Independent
12,Jude Deemer,Fr.,MB,6-4,"Indianapolis, IN",Herron High School,105,California Lutheran University,DIII Independent,www.callutheran.edu,www.clusports.com,CA,D-III,2024-25,Cal Lutheran,DIII Independent
13,Aidan Godfrey,So.,OH,6-4,"Thousand Oaks, CA",Westlake High School,105,California Lutheran University,DIII Independent,www.callutheran.edu,www.clusports.com,CA,D-III,2024-25,Cal Lutheran,DIII Independent
14,Ryan Foreman,Fr.,OH,6-3,"Rancho Palos Verdes, CA",Bishop Montgomery High School,105,California Lutheran University,DIII Independent,www.callutheran.edu,www.clusports.com,CA,D-III,2024-25,Cal Lutheran,DIII Independent
19,Mason Foster,Fr.,MB,6-3,"Honolulu, HI",Maryknoll High School,105,California Lutheran University,DIII Independent,www.callutheran.edu,www.clusports.com,CA,D-III,2024-25,Cal Lutheran,DIII Independent
1,Riley Petesch,Fr.,RS,6-4,"Bonners Ferry, ID",Bonners Ferry High School,105,California Lutheran University,DIII Independent,www.callutheran.edu,www.clusports.com,CA,D-III,2024-25,Cal Lutheran,DIII Independent
3,Keaton Hendry,Fr.,S,6-0,"Campbell, CA",Valley Christian High School,105,California Lutheran University,DIII Independent,www.callutheran.edu,www.clusports.com,CA,D-III,2024-25,Cal Lutheran,DIII Independent
10,Gavin Galanski,Fr.,S,6-4,"Santa Maria, CA",St. Joseph High School,105,California Lutheran University,DIII Independent,www.callutheran.edu,www.clusports.com,CA,D-III,2024-25,Cal Lutheran,DIII Independent
21,Cody Bowker,Jr.,OH,6-7,"Fair Oaks, CA",Del Campo HS,101,"California State University, Northridge",Big West Conference,www.csun.edu,www.GoMatadors.com,CA,D-I,2024-25,CSUN,Big West
11,Jackson Payne,Sr.,MB,6-7,"Carlsbad, CA",Carlsbad HS,101,"California State University, Northridge",Big West Conference,www.csun.edu,www.GoMatadors.com,CA,D-I,2024-25,CSUN,Big West
18,Jalen Phillips,So.,OPP,6-6,"Anaheim, CA",Canyon HS,101,"California State University, Northridge",Big West Conference,www.csun.edu,www.GoMatadors.com,CA,D-I,2024-25,CSUN,Big West
4,Malcolm King,Jr.,MB,6-5,"Long Beach, CA",Long Beach Poly,101,"California State University, Northridge",Big West Conference,www.csun.edu,www.GoMatadors.com,CA,D-I,2024-25,CSUN,Big West
8,Chris Karnezis,So.,L,6-1,"Park Ridge, IL",Maine South HS,101,"California State University, Northridge",Big West Conference,www.csun.edu,www.GoMatadors.com,CA,D-I,2024-25,CSUN,Big West
24,Trevor Lau,So.,OH,6-1,"Pleasant Hill, CA",College Park HS,101,"California State University, Northridge",Big West Conference,www.csun.edu,www.GoMatadors.com,CA,D-I,2024-25,CSUN,Big West
7,Matteo Salvador,Sr.,OH,6-6,"Sesto San Giovanni, Italy",Liceo Scientifico,101,"California State University, Northridge",Big West Conference,www.csun.edu,www.GoMatadors.com,CA,D-I,2024-25,CSUN,Big West
2,Lorenzo Bertozzi,Sr.,OH,6-4,"Parma, Italy",IS C. Rondani,101,"California State University, Northridge",Big West Conference,www.csun.edu,www.GoMatadors.com,CA,D-I,2024-25,CSUN,Big West
23,Donovan Constable,Sr.,S,6-2,"Clovis, CA",Buchanan HS,101,"California State University, Northridge",Big West Conference,www.csun.edu,www.GoMatadors.com,CA,D-I,2024-25,CSUN,Big West
6,Hank Kaufman,Fr.,OH,6-5,"Santa Clarita, CA",Hart HS,101,"California State University, Northridge",Big West Conference,www.csun.edu,www.GoMatadors.com,CA,D-I,2024-25,CSUN,Big West
3,Benjamin Cohen,Fr.,L,5-9,"Roseville, CA",Woodcreek HS,101,"California State University, Northridge",Big West Conference,www.csun.edu,www.GoMatadors.com,CA,D-I,2024-25,CSUN,Big West
10,Owen Douphner,So.,S,6-7,"Stevenson Ranch, CA",Hart HS,101,"California State University, Northridge",Big West Conference,www.csun.edu,www.GoMatadors.com,CA,D-I,2024-25,CSUN,Big West
14,Niall Finnegan,So.,MB,6-6,"San Mateo, CA",Burlingame HS,101,"California State University, Northridge",Big West Conference,www.csun.edu,www.GoMatadors.com,CA,D-I,2024-25,CSUN,Big West
15,Nir Eitan,So.,MB,6-6,"Tel-Mond, Israel",Hof Hasharon HS,101,"California State University, Northridge",Big West Conference,www.csun.edu,www.GoMatadors.com,CA,D-I,2024-25,CSUN,Big West
17,Grayson Albers,Fr.,OH,6-7,"Sacramento, CA",Rio Americano HS,101,"California State University, Northridge",Big West Conference,www.csun.edu,www.GoMatadors.com,CA,D-I,2024-25,CSUN,Big West
16,Braden Pool-Harris,Fr.,L,5-11,"Long Beach, CA",Wilson HS,101,"California State University, Northridge",Big West Conference,www.csun.edu,www.GoMatadors.com,CA,D-I,2024-25,CSUN,Big West
22,Logan Spencer,Fr.,S,6-0,"Colorado Springs, CO",Pince Creek HS,101,"California State University, Northridge",Big West Conference,www.csun.edu,www.GoMatadors.com,CA,D-I,2024-25,CSUN,Big West
12,Boaz Serson,Fr.,OH,6-4,"Kfar Saba, Israel",Galili HS,101,"California State University, Northridge",Big West Conference,www.csun.edu,www.GoMatadors.com,CA,D-I,2024-25,CSUN,Big West
19,Shane Nhem,Jr.,OPP,6-4,"Union City, CA",Logan HS,101,"California State University, Northridge",Big West Conference,www.csun.edu,www.GoMatadors.com,CA,D-I,2024-25,CSUN,Big West
5,Joao Avila,Fr.,OH,6-0,"Rio de Janeiro, Brazil",CEL School,101,"California State University, Northridge",Big West Conference,www.csun.edu,www.GoMatadors.com,CA,D-I,2024-25,CSUN,Big West
20,Joao Favarim,Fr.,MB,6-7,"Curitiba, Brazil",Colegio Marista,101,"California State University, Northridge",Big West Conference,www.csun.edu,www.GoMatadors.com,CA,D-I,2024-25,CSUN,Big West
1,Stilian Delibosov,Fr.,MB,6-6,"Razlog, Bulgaria",Vocational High School of Transport,101,"California State University, Northridge",Big West Conference,www.csun.edu,www.GoMatadors.com,CA,D-I,2024-25,CSUN,Big West
27,Aidan Schulten,So.,S,6-0,"Seal Beach, CA",Los Alamitos,109,"University of California, Irvine",Big West Conference,www.uci.edu,https://ucirvinesports.com/,CA,D-I,2024-25,UC Irvine,Big West
23,Maxim Grigoriev,Jr.,MB,6-4,"Walnut Creek, CA",Northgate,109,"University of California, Irvine",Big West Conference,www.uci.edu,https://ucirvinesports.com/,CA,D-I,2024-25,UC Irvine,Big West
5,William D'Arcy,Jr.,OPP,6-10,"Brisbane, Australia",Cleveland District State,109,"University of California, Irvine",Big West Conference,www.uci.edu,https://ucirvinesports.com/,CA,D-I,2024-25,UC Irvine,Big West
13,Beck Weber,So.,MB,6-8,"Long Beach, CA",Los Alamitos,109,"University of California, Irvine",Big West Conference,www.uci.edu,https://ucirvinesports.com/,CA,D-I,2024-25,UC Irvine,Big West
20,Hilir Henno,Sr.,OH,6-8,"Pornichet, France",Lycee Jean Mermoz,109,"University of California, Irvine",Big West Conference,www.uci.edu,https://ucirvinesports.com/,CA,D-I,2024-25,UC Irvine,Big West
24,Aidan Rigg,Fr.,S,6-6,"Honolulu, HI",Punahou,109,"University of California, Irvine",Big West Conference,www.uci.edu,https://ucirvinesports.com/,CA,D-I,2024-25,UC Irvine,Big West
14,Andon Kiriakou,So.,OPP,6-2,"Ajax, Canada",Uxbridge Secondary,109,"University of California, Irvine",Big West Conference,www.uci.edu,https://ucirvinesports.com/,CA,D-I,2024-25,UC Irvine,Big West
9,Nolan Flexen,Jr.,OH,6-9,"Rio Rancho, NM",Homeschooled,109,"University of California, Irvine",Big West Conference,www.uci.edu,https://ucirvinesports.com/,CA,D-I,2024-25,UC Irvine,Big West
11,Kobe Brown,Fr.,MB,6-9,"Petaluma, CA",Technology,109,"University of California, Irvine",Big West Conference,www.uci.edu,https://ucirvinesports.com/,CA,D-I,2024-25,UC Irvine,Big West
18,Nicolas Restrepo,Fr.,MB,6-10,"Camarillo, CA",Rancho Campana,109,"University of California, Irvine",Big West Conference,www.uci.edu,https://ucirvinesports.com/,CA,D-I,2024-25,UC Irvine,Big West
1,Shane Aitken,Fr.,L,6-0,"San Clemente, CA",St. Margaret's,109,"University of California, Irvine",Big West Conference,www.uci.edu,https://ucirvinesports.com/,CA,D-I,2024-25,UC Irvine,Big West
12,Joe Karlous,Sr.,S,6-0,"Costa Mesa, CA",Newport Harbor,109,"University of California, Irvine",Big West Conference,www.uci.edu,https://ucirvinesports.com/,CA,D-I,2024-25,UC Irvine,Big West
2,Micah Tumas,Fr.,S,6-7,"Atlantis, FL",The King's Academy,109,"University of California, Irvine",Big West Conference,www.uci.edu,https://ucirvinesports.com/,CA,D-I,2024-25,UC Irvine,Big West
6,Tim Ennis,Fr.,OH,6-4,"Scotch Plains, NJ",Scotch-Plains-Fanwood HS,109,"University of California, Irvine",Big West Conference,www.uci.edu,https://ucirvinesports.com/,CA,D-I,2024-25,UC Irvine,Big West
16,Aidan Cuppett,Fr.,OH,6-3,"Los Altos, CA",Los Altos,109,"University of California, Irvine",Big West Conference,www.uci.edu,https://ucirvinesports.com/,CA,D-I,2024-25,UC Irvine,Big West
8,Lucas Winn,Fr.,MB,6-7,"Castro Valley, CA",Castro Valley HS,109,"University of California, Irvine",Big West Conference,www.uci.edu,https://ucirvinesports.com/,CA,D-I,2024-25,UC Irvine,Big West
15,Cameron Kosty,Fr.,S,6-5,"Hayward, CA",Bishop O'Dowd,109,"University of California, Irvine",Big West Conference,www.uci.edu,https://ucirvinesports.com/,CA,D-I,2024-25,UC Irvine,Big West
7,Micah Goss,Fr.,MB,6-6,"Santa Barbara, CA",Dos Pueblos,109,"University of California, Irvine",Big West Conference,www.uci.edu,https://ucirvinesports.com/,CA,D-I,2024-25,UC Irvine,Big West
19,Alec Apelian,Fr.,MB,6-7,,University,109,"University of California, Irvine",Big West Conference,www.uci.edu,https://ucirvinesports.com/,CA,D-I,2024-25,UC Irvine,Big West
7,Andrew Rowan,Jr.,S,6-6,"Trabuco Canyon, CA",J Serra HS,110,"University of California, Los Angeles",Mountain Pacific Sports Federation,www.ucla.edu,www.uclabruins.com,CA,D-I,2024-25,UCLA,MPSF
15,Christopher Hersh,Jr.,MB,6-9,"Cupertino, CA",St. Francis HS,110,"University of California, Los Angeles",Mountain Pacific Sports Federation,www.ucla.edu,www.uclabruins.com,CA,D-I,2024-25,UCLA,MPSF
19,David Decker,Jr.,OPP,6-8,"Winston-Salem, NC",Cardinal Gibbons HS,110,"University of California, Los Angeles",Mountain Pacific Sports Federation,www.ucla.edu,www.uclabruins.com,CA,D-I,2024-25,UCLA,MPSF
21,Zach Rama,Jr.,OH,6-8,"Phoenix, AZ",Sandra Day O'Connor HS,110,"University of California, Los Angeles",Mountain Pacific Sports Federation,www.ucla.edu,www.uclabruins.com,CA,D-I,2024-25,UCLA,MPSF
23,Coleman McDonough,Jr.,L,5-11,"Pittsburgh, PA",Seneca Valley HS,110,"University of California, Los Angeles",Mountain Pacific Sports Federation,www.ucla.edu,www.uclabruins.com,CA,D-I,2024-25,UCLA,MPSF
11,Cooper Robinson,Sr.,OH,6-7,"Pacific Palisades, CA",Loyola HS,110,"University of California, Los Angeles",Mountain Pacific Sports Federation,www.ucla.edu,www.uclabruins.com,CA,D-I,2024-25,UCLA,MPSF
14,Matthew Aziz,Sr.,L,6-1,"Burbank, CA",Notre Dame HS,110,"University of California, Los Angeles",Mountain Pacific Sports Federation,www.ucla.edu,www.uclabruins.com,CA,D-I,2024-25,UCLA,MPSF
16,Ido David,Sr.,OPP,6-7,"Kiryat Ata, Israel",Hof Hasharon,110,"University of California, Los Angeles",Mountain Pacific Sports Federation,www.ucla.edu,www.uclabruins.com,CA,D-I,2024-25,UCLA,MPSF
10,Sean McQuiggan,Sr.,MB,6-9,"Redondo Beach, CA",Mira Costa HS,110,"University of California, Los Angeles",Mountain Pacific Sports Federation,www.ucla.edu,www.uclabruins.com,CA,D-I,2024-25,UCLA,MPSF
22,Matthew Edwards,Sr.,MB,6-9,"Irvine, CA",Woodbridge HS,110,"University of California, Los Angeles",Mountain Pacific Sports Federation,www.ucla.edu,www.uclabruins.com,CA,D-I,2024-25,UCLA,MPSF
1,Hideharu Nakamura,Sr.,L,5-10,"Naha, Japan",Nishihara,110,"University of California, Los Angeles",Mountain Pacific Sports Federation,www.ucla.edu,www.uclabruins.com,CA,D-I,2024-25,UCLA,MPSF
24,Kahale Clini,So.,OH,6-3,,Punahou School,110,"University of California, Los Angeles",Mountain Pacific Sports Federation,www.ucla.edu,www.uclabruins.com,CA,D-I,2024-25,UCLA,MPSF
2,Jaidin Russell,So.,OPP,6-5,"Newton, MA",Newton South HS,110,"University of California, Los Angeles",Mountain Pacific Sports Federation,www.ucla.edu,www.uclabruins.com,CA,D-I,2024-25,UCLA,MPSF
6,Spencer Graves,So.,MB,6-5,"Pacific Palisades, CA",Loyola HS,110,"University of California, Los Angeles",Mountain Pacific Sports Federation,www.ucla.edu,www.uclabruins.com,CA,D-I,2024-25,UCLA,MPSF
3,Luca Curci,So.,OH,6-3,"Newport Beach, CA",Newport Harbor HS,110,"University of California, Los Angeles",Mountain Pacific Sports Federation,www.ucla.edu,www.uclabruins.com,CA,D-I,2024-25,UCLA,MPSF
8,Micah Wong Diallo,So.,MB,6-9,"Los Angeles, CA",Marshall HS,110,"University of California, Los Angeles",Mountain Pacific Sports Federation,www.ucla.edu,www.uclabruins.com,CA,D-I,2024-25,UCLA,MPSF
4,Thiago Zamprogno,So.,MB,6-7,"Fort Lauderdale, FL",Cardinal Gibbons HS,110,"University of California, Los Angeles",Mountain Pacific Sports Federation,www.ucla.edu,www.uclabruins.com,CA,D-I,2024-25,UCLA,MPSF
6,Leo Pravednikov,Jr.,OH,6-4,"Long Beach, CA",Wilson,112,"University of California, San Diego",Big West Conference,www.ucsd.edu,www.ucsdtritons.com,CA,D-I,2024-25,UC San Diego,Big West
2,Cameron Wurl,Jr.,S,6-7,"San Diego, CA",Cathedral Catholic,112,"University of California, San Diego",Big West Conference,www.ucsd.edu,www.ucsdtritons.com,CA,D-I,2024-25,UC San Diego,Big West
5,Evan Boyle,Jr.,L,6-0,"La Crescenta, CA",Crescenta Valley,112,"University of California, San Diego",Big West Conference,www.ucsd.edu,www.ucsdtritons.com,CA,D-I,2024-25,UC San Diego,Big West
16,Michael Robertson,Jr.,OPP,6-7,"Westchester, CA",Loyola,112,"University of California, San Diego",Big West Conference,www.ucsd.edu,www.ucsdtritons.com,CA,D-I,2024-25,UC San Diego,Big West
21,Josh Ewert,Jr.,OH,6-4,"Moraga, CA",Campolindo,112,"University of California, San Diego",Big West Conference,www.ucsd.edu,www.ucsdtritons.com,CA,D-I,2024-25,UC San Diego,Big West
22,Sam Warren,Sr.,OH,6-4,"Huntington Beach, CA",Edison,112,"University of California, San Diego",Big West Conference,www.ucsd.edu,www.ucsdtritons.com,CA,D-I,2024-25,UC San Diego,Big West
7,Matthew Lim,Sr.,OH,6-6,"San Diego, CA",Torrey Pines,112,"University of California, San Diego",Big West Conference,www.ucsd.edu,www.ucsdtritons.com,CA,D-I,2024-25,UC San Diego,Big West
10,Josh Schellinger,Jr.,OH,6-5,"Bloomingdale, IL",Lake Park,112,"University of California, San Diego",Big West Conference,www.ucsd.edu,www.ucsdtritons.com,CA,D-I,2024-25,UC San Diego,Big West
11,Brett Pursley,Jr.,OH,6-5,"Poway, CA",Poway,112,"University of California, San Diego",Big West Conference,www.ucsd.edu,www.ucsdtritons.com,CA,D-I,2024-25,UC San Diego,Big West
14,Jim Garrison,Jr.,MB,6-9,"Manhattan Beach, CA",Mira Costa,112,"University of California, San Diego",Big West Conference,www.ucsd.edu,www.ucsdtritons.com,CA,D-I,2024-25,UC San Diego,Big West
24,Peter Selcho,Jr.,MB,6-6,"Fountain Valley, CA",Servite,112,"University of California, San Diego",Big West Conference,www.ucsd.edu,www.ucsdtritons.com,CA,D-I,2024-25,UC San Diego,Big West
9,Leo Wiemelt,So.,MB,6-8,"La Grange, IL",Lyons Township,112,"University of California, San Diego",Big West Conference,www.ucsd.edu,www.ucsdtritons.com,CA,D-I,2024-25,UC San Diego,Big West
17,Keegan Cook,So.,L,6-0,"Coto de Caza, CA",Tesoro,112,"University of California, San Diego",Big West Conference,www.ucsd.edu,www.ucsdtritons.com,CA,D-I,2024-25,UC San Diego,Big West
19,Charlie Wilson,So.,MB,6-6,"Carlsbad, CA",San Marcos,112,"University of California, San Diego",Big West Conference,www.ucsd.edu,www.ucsdtritons.com,CA,D-I,2024-25,UC San Diego,Big West
4,Sebastian Lara,Sr.,OH,6-5,"La Mirada, CA",Mater Dei,112,"University of California, San Diego",Big West Conference,www.ucsd.edu,www.ucsdtritons.com,CA,D-I,2024-25,UC San Diego,Big West
3,Bryce Dvorak,Sr.,S,6-4,"Newport Beach, CA",Corona del Mar,112,"University of California, San Diego",Big West Conference,www.ucsd.edu,www.ucsdtritons.com,CA,D-I,2024-25,UC San Diego,Big West
12,Nick Rigo,Sr.,MB,6-5,"Laguna Niguel, CA",Dana Hills,112,"University of California, San Diego",Big West Conference,www.ucsd.edu,www.ucsdtritons.com,CA,D-I,2024-25,UC San Diego,Big West
1,Luke Chandler,Sr.,OPP,6-7,"Newport Beach, CA",Corona del Mar,112,"University of California, San Diego",Big West Conference,www.ucsd.edu,www.ucsdtritons.com,CA,D-I,2024-25,UC San Diego,Big West
13,Anthony Cherfan,Sr.,OPP,6-6,"Los Angeles, CA",Bishop Alemany,112,"University of California, San Diego",Big West Conference,www.ucsd.edu,www.ucsdtritons.com,CA,D-I,2024-25,UC San Diego,Big West
23,Ben Warren,Fr.,OH,6-7,"Toronto, Canada",Upper Canada College,112,"University of California, San Diego",Big West Conference,www.ucsd.edu,www.ucsdtritons.com,CA,D-I,2024-25,UC San Diego,Big West
25,Landon Seymour,Jr.,S,6-1,"San Clemente, CA",San Clemente,112,"University of California, San Diego",Big West Conference,www.ucsd.edu,www.ucsdtritons.com,CA,D-I,2024-25,UC San Diego,Big West
24,Owen Loncar,Jr.,OH,6-1,"Pacific Palisades, CA",Loyola High School,104,"University of California, Santa Barbara",Big West Conference,www.ucsb.edu,ucsbgauchos.com,CA,D-I,2024-25,UC Santa Barbara,Big West
12,Patrick Kane,Jr.,OH,6-4,"Campbell, CA",Mountain View,104,"University of California, Santa Barbara",Big West Conference,www.ucsb.edu,ucsbgauchos.com,CA,D-I,2024-25,UC Santa Barbara,Big West
6,Jack Walmer,Sr.,S,6-3,"Manhattan Beach, CA",Mira Costa,104,"University of California, Santa Barbara",Big West Conference,www.ucsb.edu,ucsbgauchos.com,CA,D-I,2024-25,UC Santa Barbara,Big West
23,Ben Pearson,Jr.,OH,6-2,"Santa Cruz, CA",Mount Madonna,104,"University of California, Santa Barbara",Big West Conference,www.ucsb.edu,ucsbgauchos.com,CA,D-I,2024-25,UC Santa Barbara,Big West
2,Geste Bianchi,Sr.,OPP,6-6,"Laguna Beach, CA",,104,"University of California, Santa Barbara",Big West Conference,www.ucsb.edu,ucsbgauchos.com,CA,D-I,2024-25,UC Santa Barbara,Big West
3,Owen Birg,Jr.,OH,6-8,"Thousand Oaks, CA",Thousand Oaks HS,104,"University of California, Santa Barbara",Big West Conference,www.ucsb.edu,ucsbgauchos.com,CA,D-I,2024-25,UC Santa Barbara,Big West
7,Ben Coordt,Jr.,OH,6-4,"Hermosa Beach, CA",Mira Costa HS,104,"University of California, Santa Barbara",Big West Conference,www.ucsb.edu,ucsbgauchos.com,CA,D-I,2024-25,UC Santa Barbara,Big West
10,Sam Meister,Jr.,OPP,6-5,"Santa Barbara, CA",Santa Barbara HS,104,"University of California, Santa Barbara",Big West Conference,www.ucsb.edu,ucsbgauchos.com,CA,D-I,2024-25,UC Santa Barbara,Big West
5,George Bruening,So.,OH,6-10,"Newport Beach, CA",Corona Del Mar HS,104,"University of California, Santa Barbara",Big West Conference,www.ucsb.edu,ucsbgauchos.com,CA,D-I,2024-25,UC Santa Barbara,Big West
16,Josh Aruya,So.,MB,6-9,"Mission Viejo, CA",Mission Viejo HS,104,"University of California, Santa Barbara",Big West Conference,www.ucsb.edu,ucsbgauchos.com,CA,D-I,2024-25,UC Santa Barbara,Big West
4,Joe Wallace,So.,L/DS,6-1,"Los Gatos, CA",Saint Francis High School,104,"University of California, Santa Barbara",Big West Conference,www.ucsb.edu,ucsbgauchos.com,CA,D-I,2024-25,UC Santa Barbara,Big West
20,Andreas Schuetz,Jr.,OH,6-4,"Santa Barbara, CA",,104,"University of California, Santa Barbara",Big West Conference,www.ucsb.edu,ucsbgauchos.com,CA,D-I,2024-25,UC Santa Barbara,Big West
8,Max Gordon,So.,L,6-1,"Manhattan Beach, CA",Mira Costa,104,"University of California, Santa Barbara",Big West Conference,www.ucsb.edu,ucsbgauchos.com,CA,D-I,2024-25,UC Santa Barbara,Big West
18,Raglan Kear,Fr.,OH,6-7,"Santa Barbara, CA",Santa Barbara,104,"University of California, Santa Barbara",Big West Conference,www.ucsb.edu,ucsbgauchos.com,CA,D-I,2024-25,UC Santa Barbara,Big West
19,Jason Walmer,Fr.,S,5-9,"Manhattan Beach, CA",,104,"University of California, Santa Barbara",Big West Conference,www.ucsb.edu,ucsbgauchos.com,CA,D-I,2024-25,UC Santa Barbara,Big West
21,Ashton Saint,So.,OH,6-3,"Laguna Niguel, CA",,104,"University of California, Santa Barbara",Big West Conference,www.ucsb.edu,ucsbgauchos.com,CA,D-I,2024-25,UC Santa Barbara,Big West
22,Emmett Martin,Fr.,OH,6-4,,Mount Madonna,104,"University of California, Santa Barbara",Big West Conference,www.ucsb.edu,ucsbgauchos.com,CA,D-I,2024-25,UC Santa Barbara,Big West
11,Ethan Saint,Fr.,OH,6-3,"Laguna Niguel, CA",Santa Margarita Catholic,104,"University of California, Santa Barbara",Big West Conference,www.ucsb.edu,ucsbgauchos.com,CA,D-I,2024-25,UC Santa Barbara,Big West
