date,match,results,box_score_url,div
12/2024/29,Saskatchewan (CAN) (na) vs Stanford (MPSF),"[0-3] (17-25, 19-25, 22-25)",https://stats.ncaa.org/contests/6083800/box_score,D-I
12/2024/29,Trinity Western (CN) (na) vs UCLA (MPSF),"[0-3] (13-25, 17-25, 19-25)",https://stats.ncaa.org/contests/6300372/box_score,D-I
