date,match,results,box_score_url,div
08/30/2024,Hawaii Hilo (PacWest) vs Alas. Anchorage (Great Northwest),"[3-2] (21-25, 21-25, 25-19, 25-22, 15-11)",https://stats.ncaa.org/contests/5667369/box_score,D-II
08/30/2024,Hawaii Hilo (PacWest) vs Alas. Fairbanks (Great Northwest),"[3-2] (25-22, 25-23, 16-25, 19-25, 15-13)",https://stats.ncaa.org/contests/5667445/box_score,D-II
09/05/2024,West Virginia St. (MEC) vs Tex. A&M Int'l (Lone Star),"[1-3] (21-25, 23-25, 25-18, 24-26)",https://stats.ncaa.org/contests/5668309/box_score,D-II
09/05/2024,West Va. Tech (nan) vs Salem (WV) (Independent),"[3-1] (27-25, 14-25, 25-19, 25-17)",https://stats.ncaa.org/contests/5668365/box_score,D-II
09/05/2024,Stanislaus St. (CCAA) vs Fresno Pacific (PacWest),"[3-1] (25-19, 24-26, 25-20, 25-18)",https://stats.ncaa.org/contests/5668392/box_score,D-II
09/05/2024,Wis.-Parkside (GLIAC) vs Truman St. (GLVC),"[3-1] (22-25, 25-19, 25-11, 27-25)",https://stats.ncaa.org/contests/5668317/box_score,D-II
09/05/2024,Lynn (Sunshine State) vs St. Anselm (NE10),"[3-0] (25-23, 25-16, 25-9)",https://stats.ncaa.org/contests/5668397/box_score,D-II
09/05/2024,Northwest Nazarene (Great Northwest) vs Azusa Pacific (PacWest),"[0-3] (16-25, 14-25, 21-25)",https://stats.ncaa.org/contests/5668308/box_score,D-II
09/05/2024,Brewton-Parker (nan) vs Claflin (CIAA),"[3-0] (25-8, 25-22, 25-19)",https://stats.ncaa.org/contests/5668335/box_score,D-II
09/05/2024,Winona St. (NSIC) vs William Jewell (GLVC),"[3-0] (25-18, 25-18, 25-22)",https://stats.ncaa.org/contests/5668358/box_score,D-II
09/05/2024,MSU Denver (RMAC) vs Central Wash. (Great Northwest),"[3-0] (25-21, 25-22, 25-21)",https://stats.ncaa.org/contests/5668321/box_score,D-II
09/05/2024,Miles (SIAC) vs Stillman (nan),"[1-3] (25-18, 21-25, 17-25, 14-25)",https://stats.ncaa.org/contests/5722145/box_score,D-II
09/05/2024,Post (CACC) vs Mercy (ECC),"[3-2] (25-16, 19-25, 25-18, 19-25, 18-16)",https://stats.ncaa.org/contests/5668385/box_score,D-II
09/05/2024,Ferris St. (GLIAC) vs West Tex. A&M (Lone Star),"[3-2] (25-20, 25-21, 22-25, 16-25, 15-12)",https://stats.ncaa.org/contests/5668333/box_score,D-II
09/05/2024,Bentley (NE10) vs DBU (Lone Star),"[0-3] (23-25, 22-25, 18-25)",https://stats.ncaa.org/contests/5668331/box_score,D-II
09/05/2024,Adams St. (RMAC) vs Midwestern St. (Lone Star),"[0-3] (13-25, 21-25, 24-26)",https://stats.ncaa.org/contests/5668375/box_score,D-II
09/05/2024,Emporia St. (Mid-America Intercollegiate) vs Rockhurst (GLVC),"[0-3] (18-25, 24-26, 13-25)",https://stats.ncaa.org/contests/5668354/box_score,D-II
09/05/2024,Washburn (Mid-America Intercollegiate) vs Sioux Falls (NSIC),"[3-2] (23-25, 28-30, 25-13, 25-17, 15-11)",https://stats.ncaa.org/contests/5668311/box_score,D-II
09/05/2024,Tusculum (SAC) vs Lander (Peach Belt),"[0-3] (17-25, 21-25, 19-25)",https://stats.ncaa.org/contests/5668340/box_score,D-II
09/05/2024,Texas-Dallas (Lone Star) vs Southwestern (TX) (SCAC),"[0-3] (18-25, 24-26, 21-25)",https://stats.ncaa.org/contests/5668349/box_score,D-II
09/05/2024,Upper Iowa (GLVC) vs Minnesota St. (NSIC),"[0-3] (21-25, 18-25, 15-25)",https://stats.ncaa.org/contests/5668368/box_score,D-II
09/05/2024,Minn.-Crookston (NSIC) vs Cal St. East Bay (CCAA),"[3-0] (25-22, 25-21, 25-20)",https://stats.ncaa.org/contests/5668351/box_score,D-II
09/05/2024,Seattle Pacific (Great Northwest) vs CSUSB (CCAA),"[1-3] (25-22, 15-25, 17-25, 19-25)",https://stats.ncaa.org/contests/5668400/box_score,D-II
09/05/2024,Northwest Mo. St. (Mid-America Intercollegiate) vs Northern St. (NSIC),"[0-3] (23-25, 23-25, 20-25)",https://stats.ncaa.org/contests/5668307/box_score,D-II
09/05/2024,Alas. Fairbanks (Great Northwest) vs Cal St. Dom. Hills (CCAA),"[3-2] (20-25, 25-23, 25-18, 17-25, 15-12)",https://stats.ncaa.org/contests/5668303/box_score,D-II
09/05/2024,Cal Poly Humboldt (CCAA) vs Hawaii Hilo (PacWest),"[3-1] (25-23, 15-25, 29-27, 25-23)",https://stats.ncaa.org/contests/5668369/box_score,D-II
09/05/2024,Biola (PacWest) vs Cal State LA (CCAA),"[1-3] (11-25, 25-16, 21-25, 23-25)",https://stats.ncaa.org/contests/5668301/box_score,D-II
09/05/2024,Sonoma St. (CCAA) vs Western Wash. (Great Northwest),"[0-3] (26-28, 18-25, 22-25)",https://stats.ncaa.org/contests/5668371/box_score,D-II
09/05/2024,West Ala. (Gulf South) vs UVA Wise (SAC),"[0-3] (13-25, 15-25, 16-25)",https://stats.ncaa.org/contests/5668296/box_score,D-II
09/05/2024,West Ala. (Gulf South) vs King (TN) (Conference Carolinas),"[0-3] (13-25, 13-25, 22-25)",https://stats.ncaa.org/contests/5668305/box_score,D-II
09/05/2024,Cal Poly Humboldt (CCAA) vs Western Ore. (Great Northwest),"[1-3] (21-25, 25-15, 24-26, 23-25)",https://stats.ncaa.org/contests/5668295/box_score,D-II
09/05/2024,Chadron St. (RMAC) vs Point Loma (PacWest),"[0-3] (14-25, 19-25, 13-25)",https://stats.ncaa.org/contests/5668313/box_score,D-II
09/05/2024,St. Cloud St. (NSIC) vs Cal Poly Pomona (CCAA),"[0-3] (18-25, 20-25, 21-25)",https://stats.ncaa.org/contests/5668299/box_score,D-II
09/05/2024,Cumberlands (KY) (nan) vs Kentucky St. (SIAC),"[3-0] (25-19, 25-12, 25-15)",https://stats.ncaa.org/contests/5668359/box_score,D-II
09/05/2024,Francis Marion (Conference Carolinas) vs Coker (SAC),"[3-2] (25-23, 25-19, 21-25, 22-25, 15-7)",https://stats.ncaa.org/contests/5668363/box_score,D-II
09/05/2024,Colo. Christian (RMAC) vs CUI (PacWest),"[1-3] (16-25, 27-25, 24-26, 18-25)",https://stats.ncaa.org/contests/5668383/box_score,D-II
09/05/2024,Lynn (Sunshine State) vs Southern N.H. (NE10),"[3-1] (25-13, 24-26, 25-17, 25-21)",https://stats.ncaa.org/contests/5668302/box_score,D-II
09/05/2024,Bemidji St. (NSIC) vs Hawaii Hilo (PacWest),"[2-3] (25-18, 30-28, 17-25, 16-25, 11-15)",https://stats.ncaa.org/contests/5668294/box_score,D-II
09/05/2024,Saint Martin's (Great Northwest) vs Hawaii Pacific (PacWest),"[3-2] (25-18, 15-25, 18-25, 25-22, 15-7)",https://stats.ncaa.org/contests/5668310/box_score,D-II
09/05/2024,South Dakota Mines (RMAC) vs Augustana (SD) (NSIC),"[0-3] (22-25, 26-28, 16-25)",https://stats.ncaa.org/contests/5668330/box_score,D-II
09/05/2024,Chaminade (PacWest) vs Cal Poly Pomona (CCAA),"[1-3] (23-25, 18-25, 25-23, 14-25)",https://stats.ncaa.org/contests/5668319/box_score,D-II
09/05/2024,Wayne St. (NE) (NSIC) vs Adelphi (NE10),"[3-0] (25-15, 25-14, 25-14)",https://stats.ncaa.org/contests/5668352/box_score,D-II
09/05/2024,Allen (SIAC) vs Clinton (nan),[0-0] (),https://stats.ncaa.org/contests/5697072/box_score,D-II
09/05/2024,Simon Fraser (Great Northwest) vs Cal St. San Marcos (CCAA),"[3-1] (25-14, 23-25, 25-20, 25-18)",https://stats.ncaa.org/contests/5668315/box_score,D-II
09/05/2024,King (TN) (Conference Carolinas) vs UVA Wise (SAC),"[0-3] (24-26, 22-25, 23-25)",https://stats.ncaa.org/contests/5668322/box_score,D-II
09/05/2024,Lake Superior St. (GLIAC) vs CSU Pueblo (RMAC),"[0-3] (18-25, 12-25, 19-25)",https://stats.ncaa.org/contests/5668376/box_score,D-II
09/06/2024,Purdue Northwest (GLIAC) vs Newman (Mid-America Intercollegiate),"[3-0] (25-17, 25-9, 25-16)",https://stats.ncaa.org/contests/5668642/box_score,D-II
09/06/2024,West Ala. (Gulf South) vs Bluefield St. (CIAA),"[1-3] (25-20, 12-25, 17-25, 15-25)",https://stats.ncaa.org/contests/5668668/box_score,D-II
09/06/2024,Roosevelt (GLIAC) vs Malone (G-MAC),"[3-1] (17-25, 25-16, 25-17, 25-21)",https://stats.ncaa.org/contests/5668618/box_score,D-II
09/06/2024,Ohio Dominican (G-MAC) vs Northwood (G-MAC),"[2-3] (23-25, 25-21, 19-25, 25-21, 12-15)",https://stats.ncaa.org/contests/5668697/box_score,D-II
09/06/2024,Saginaw Valley (GLIAC) vs Central St. (OH) (SIAC),"[3-0] (25-13, 25-21, 25-19)",https://stats.ncaa.org/contests/5668444/box_score,D-II
09/06/2024,Ark.-Fort Smith (Mid-America Intercollegiate) vs Mary (NSIC),"[3-1] (25-22, 23-25, 25-18, 25-17)",https://stats.ncaa.org/contests/5668446/box_score,D-II
09/06/2024,Wilmington (DE) (CACC) vs Roberts Wesleyan (ECC),"[2-3] (16-25, 25-23, 17-25, 27-25, 8-15)",https://stats.ncaa.org/contests/5668656/box_score,D-II
09/06/2024,Indiana (PA) (PSAC) vs Grand Valley St. (GLIAC),"[1-3] (25-23, 20-25, 19-25, 17-25)",https://stats.ncaa.org/contests/5668781/box_score,D-II
09/06/2024,Southwest Minn. St. (NSIC) vs West Florida (Gulf South),"[3-0] (25-21, 28-26, 25-19)",https://stats.ncaa.org/contests/5668946/box_score,D-II
09/06/2024,East Central (GAC) vs Bentley (NE10),"[3-1] (25-21, 19-25, 25-20, 25-21)",https://stats.ncaa.org/contests/5668741/box_score,D-II
09/06/2024,Glenville St. (MEC) vs Mars Hill (SAC),"[0-3] (13-25, 17-25, 14-25)",https://stats.ncaa.org/contests/5668994/box_score,D-II
09/06/2024,Whitman (NWC) vs Texas-Dallas (Lone Star),"[0-3] (21-25, 12-25, 19-25)",https://stats.ncaa.org/contests/5668477/box_score,D-II
09/06/2024,Grand Valley St. (GLIAC) vs UIndy (GLVC),"[3-0] (25-19, 25-22, 25-15)",https://stats.ncaa.org/contests/5668510/box_score,D-II
09/06/2024,Drury (GLVC) vs Southern Ark. (GAC),"[3-0] (25-16, 25-19, 25-13)",https://stats.ncaa.org/contests/5668425/box_score,D-II
09/06/2024,Northwest Mo. St. (Mid-America Intercollegiate) vs Augustana (SD) (NSIC),"[1-3] (25-23, 13-25, 18-25, 23-25)",https://stats.ncaa.org/contests/5668835/box_score,D-II
09/06/2024,Harris-Stowe (nan) vs Lane (SIAC),"[1-3] (16-25, 19-25, 25-20, 7-25)",https://stats.ncaa.org/contests/5668408/box_score,D-II
09/06/2024,Okla. Baptist (GAC) vs Spring Hill (SIAC),"[3-0] (25-22, 25-23, 25-13)",https://stats.ncaa.org/contests/5668422/box_score,D-II
09/06/2024,Wis.-Parkside (GLIAC) vs Upper Iowa (GLVC),"[2-3] (25-18, 25-20, 15-25, 23-25, 7-15)",https://stats.ncaa.org/contests/5668456/box_score,D-II
09/06/2024,Montevallo (Gulf South) vs Missouri S&T (GLVC),"[1-3] (15-25, 25-17, 25-27, 15-25)",https://stats.ncaa.org/contests/5668688/box_score,D-II
09/06/2024,Virginia St. (CIAA) vs AUM (Gulf South),"[1-3] (23-25, 25-13, 23-25, 17-25)",https://stats.ncaa.org/contests/5668522/box_score,D-II
09/06/2024,Bentley (NE10) vs DBU (Lone Star),"[0-3] (15-25, 17-25, 17-25)",https://stats.ncaa.org/contests/5668431/box_score,D-II
09/06/2024,West Liberty (MEC) vs D'Youville (ECC),"[3-1] (25-21, 25-23, 20-25, 25-23)",https://stats.ncaa.org/contests/5668690/box_score,D-II
09/06/2024,Northwood (G-MAC) vs Wayne St. (MI) (GLIAC),"[3-2] (25-22, 17-25, 23-25, 25-20, 15-13)",https://stats.ncaa.org/contests/5669001/box_score,D-II
09/06/2024,Purdue Northwest (GLIAC) vs Ill. Springfield (GLVC),"[0-3] (20-25, 20-25, 12-25)",https://stats.ncaa.org/contests/5668442/box_score,D-II
09/06/2024,Elizabeth City St. (CIAA) vs Lincoln Memorial (SAC),"[0-3] (18-25, 11-25, 12-25)",https://stats.ncaa.org/contests/5668716/box_score,D-II
09/06/2024,Northwest Mo. St. (Mid-America Intercollegiate) vs Alas. Anchorage (Great Northwest),"[0-3] (22-25, 14-25, 23-25)",https://stats.ncaa.org/contests/5668488/box_score,D-II
09/06/2024,Minot St. (NSIC) vs Mont. St. Billings (Great Northwest),"[0-3] (12-25, 20-25, 18-25)",https://stats.ncaa.org/contests/5668553/box_score,D-II
09/06/2024,American Int'l (NE10) vs Fla. Southern (Sunshine State),"[0-3] (22-25, 23-25, 19-25)",https://stats.ncaa.org/contests/5668943/box_score,D-II
09/06/2024,Shippensburg (PSAC) vs Clarion (PSAC),"[1-3] (20-25, 15-25, 26-24, 14-25)",https://stats.ncaa.org/contests/5668503/box_score,D-II
09/06/2024,Vanguard (PacWest) vs Cal St. San Marcos (CCAA),"[3-0] (25-22, 26-24, 27-25)",https://stats.ncaa.org/contests/5668687/box_score,D-II
09/06/2024,Cal St. Dom. Hills (CCAA) vs Azusa Pacific (PacWest),"[3-1] (25-16, 19-25, 25-11, 25-23)",https://stats.ncaa.org/contests/5668765/box_score,D-II
09/06/2024,Thomas More (G-MAC) vs Malone (G-MAC),"[2-3] (25-17, 24-26, 22-25, 25-19, 10-15)",https://stats.ncaa.org/contests/5668430/box_score,D-II
09/06/2024,Adelphi (NE10) vs Eckerd (Sunshine State),"[1-3] (25-19, 18-25, 19-25, 19-25)",https://stats.ncaa.org/contests/5669003/box_score,D-II
09/06/2024,Adams St. (RMAC) vs Western N.M. (Lone Star),"[3-0] (25-20, 25-15, 25-22)",https://stats.ncaa.org/contests/5668462/box_score,D-II
09/06/2024,Point Park (MEC) vs Lake Erie (G-MAC),"[2-3] (27-25, 19-25, 25-20, 22-25, 9-15)",https://stats.ncaa.org/contests/5668536/box_score,D-II
09/06/2024,Wis.-Parkside (GLIAC) vs Minnesota St. (NSIC),"[0-3] (23-25, 18-25, 28-30)",https://stats.ncaa.org/contests/5668822/box_score,D-II
09/06/2024,Mary (NSIC) vs Fort Hays St. (Mid-America Intercollegiate),"[2-3] (22-25, 12-25, 25-17, 25-20, 13-15)",https://stats.ncaa.org/contests/5668623/box_score,D-II
09/06/2024,Palm Beach Atl. (Sunshine State) vs Augusta (Peach Belt),"[1-3] (25-18, 23-25, 16-25, 12-25)",https://stats.ncaa.org/contests/5668569/box_score,D-II
09/06/2024,Wheeling (MEC) vs West Florida (Gulf South),"[1-3] (24-26, 27-25, 21-25, 14-25)",https://stats.ncaa.org/contests/5668493/box_score,D-II
09/06/2024,Charleston (WV) (MEC) vs West Chester (PSAC),"[3-0] (25-21, 29-27, 25-15)",https://stats.ncaa.org/contests/5668764/box_score,D-II
09/06/2024,Barton (Conference Carolinas) vs Shaw (CIAA),"[0-3] (21-25, 10-25, 17-25)",https://stats.ncaa.org/contests/5668599/box_score,D-II
09/06/2024,Frostburg St. (MEC) vs Wayne St. (MI) (GLIAC),"[0-3] (12-25, 19-25, 18-25)",https://stats.ncaa.org/contests/5668548/box_score,D-II
09/06/2024,Michigan Tech (GLIAC) vs Gannon (PSAC),"[3-1] (25-10, 26-24, 24-26, 25-17)",https://stats.ncaa.org/contests/5668883/box_score,D-II
09/06/2024,Virginia Union (CIAA) vs Fairmont St. (MEC),"[0-3] (12-25, 13-25, 14-25)",https://stats.ncaa.org/contests/5668469/box_score,D-II
09/06/2024,Thomas More (G-MAC) vs Roosevelt (GLIAC),"[3-0] (26-24, 30-28, 25-21)",https://stats.ncaa.org/contests/5668534/box_score,D-II
09/06/2024,Western Colo. (RMAC) vs Southwest Baptist (GLVC),"[2-3] (23-25, 25-21, 13-25, 26-24, 13-15)",https://stats.ncaa.org/contests/5668423/box_score,D-II
