date,match,results,box_score_url,div
09/06/2024,Jefferson (CACC) vs Charleston (WV) (MEC),"[1-3] (25-21, 19-25, 22-25, 23-25)",https://stats.ncaa.org/contests/5668580/box_score,D-II
09/06/2024,Missouri Western (Mid-America Intercollegiate) vs Colo. Sch. of Mines (RMAC),"[3-0] (25-17, 25-16, 25-23)",https://stats.ncaa.org/contests/5668840/box_score,D-II
09/06/2024,Tex. Permian Basin (Lone Star) vs Central Okla. (Mid-America Intercollegiate),"[1-3] (18-25, 25-23, 17-25, 22-25)",https://stats.ncaa.org/contests/5668459/box_score,D-II
09/06/2024,Georgian Court (CACC) vs Embry-Riddle (FL) (Sunshine State),"[0-3] (11-25, 18-25, 10-25)",https://stats.ncaa.org/contests/5668465/box_score,D-II
09/06/2024,Concord (MEC) vs Colo. Sch. of Mines (RMAC),"[1-3] (22-25, 17-25, 25-21, 20-25)",https://stats.ncaa.org/contests/5668552/box_score,D-II
09/06/2024,Northwestern Okla. (GAC) vs Midwestern St. (Lone Star),"[1-3] (17-25, 25-19, 22-25, 22-25)",https://stats.ncaa.org/contests/5668930/box_score,D-II
09/06/2024,Florida Tech (Sunshine State) vs Tusculum (SAC),"[3-0] (25-20, 25-16, 25-12)",https://stats.ncaa.org/contests/5668540/box_score,D-II
09/06/2024,Slippery Rock (PSAC) vs Bloomsburg (PSAC),"[3-1] (24-26, 25-13, 25-15, 25-11)",https://stats.ncaa.org/contests/5668982/box_score,D-II
09/06/2024,Tex. Permian Basin (Lone Star) vs Fort Lewis (RMAC),"[2-3] (27-29, 25-19, 19-25, 25-23, 16-18)",https://stats.ncaa.org/contests/5668577/box_score,D-II
09/06/2024,Cameron (Lone Star) vs Ark.-Fort Smith (Mid-America Intercollegiate),"[1-3] (20-25, 26-24, 17-25, 13-25)",https://stats.ncaa.org/contests/5668756/box_score,D-II
09/06/2024,St. Thomas Aquinas (ECC) vs Pace (NE10),"[0-3] (15-25, 17-25, 23-25)",https://stats.ncaa.org/contests/5668396/box_score,D-II
09/06/2024,Lake Superior St. (GLIAC) vs Cal St. East Bay (CCAA),"[0-3] (15-25, 24-26, 13-25)",https://stats.ncaa.org/contests/5669016/box_score,D-II
09/06/2024,South Dakota Mines (RMAC) vs Alas. Anchorage (Great Northwest),"[3-2] (22-25, 25-21, 25-18, 19-25, 15-10)",https://stats.ncaa.org/contests/5668545/box_score,D-II
09/06/2024,Biola (PacWest) vs CSUSB (CCAA),"[0-3] (24-26, 21-25, 18-25)",https://stats.ncaa.org/contests/5668621/box_score,D-II
09/06/2024,Lubbock Christian (Lone Star) vs Cal St. East Bay (CCAA),"[3-0] (25-18, 25-20, 25-19)",https://stats.ncaa.org/contests/5668537/box_score,D-II
09/06/2024,Franklin Pierce (NE10) vs Southern N.H. (NE10),"[3-1] (21-25, 25-21, 26-24, 25-21)",https://stats.ncaa.org/contests/5668685/box_score,D-II
09/06/2024,Albany St. (GA) (SIAC) vs Lee (Gulf South),"[1-3] (22-25, 25-19, 14-25, 23-25)",https://stats.ncaa.org/contests/5668496/box_score,D-II
09/06/2024,Ursuline (G-MAC) vs Northwest Nazarene (Great Northwest),"[0-3] (14-25, 11-25, 23-25)",https://stats.ncaa.org/contests/5668449/box_score,D-II
09/06/2024,North Greenville (Conference Carolinas) vs Lander (Peach Belt),"[2-3] (19-25, 25-22, 27-25, 19-25, 11-15)",https://stats.ncaa.org/contests/5668635/box_score,D-II
09/06/2024,Limestone (SAC) vs Union (TN) (Gulf South),"[3-2] (20-25, 25-17, 15-25, 25-20, 16-14)",https://stats.ncaa.org/contests/5668596/box_score,D-II
09/06/2024,Lake Superior St. (GLIAC) vs Eastern N.M. (Lone Star),"[3-0] (25-17, 25-19, 25-20)",https://stats.ncaa.org/contests/5668542/box_score,D-II
09/06/2024,Ark.-Monticello (GAC) vs St. Edward's (Lone Star),"[0-3] (25-27, 11-25, 20-25)",https://stats.ncaa.org/contests/5668491/box_score,D-II
09/06/2024,Cal Poly Humboldt (CCAA) vs Hawaii Pacific (PacWest),"[3-1] (19-25, 25-15, 25-18, 25-14)",https://stats.ncaa.org/contests/5668984/box_score,D-II
09/06/2024,Chico St. (CCAA) vs Fresno Pacific (PacWest),"[0-3] (21-25, 18-25, 21-25)",https://stats.ncaa.org/contests/5668597/box_score,D-II
09/06/2024,Jessup (PacWest) vs Stanislaus St. (CCAA),"[2-3] (26-24, 25-23, 13-25, 11-25, 10-15)",https://stats.ncaa.org/contests/5669716/box_score,D-II
09/06/2024,Chico St. (CCAA) vs Academy of Art (PacWest),"[3-0] (25-17, 25-18, 25-23)",https://stats.ncaa.org/contests/5668416/box_score,D-II
09/06/2024,Missouri S&T (GLVC) vs Ouachita Baptist (GAC),"[0-3] (20-25, 12-25, 16-25)",https://stats.ncaa.org/contests/5668508/box_score,D-II
09/06/2024,Winston-Salem (CIAA) vs Valdosta St. (Gulf South),"[0-3] (13-25, 13-25, 17-25)",https://stats.ncaa.org/contests/5668733/box_score,D-II
09/06/2024,MSU Moorhead (NSIC) vs Northern Mich. (GLIAC),"[0-3] (24-26, 21-25, 15-25)",https://stats.ncaa.org/contests/5668419/box_score,D-II
09/06/2024,Sioux Falls (NSIC) vs William Jewell (GLVC),"[3-1] (25-10, 18-25, 25-15, 25-10)",https://stats.ncaa.org/contests/5668433/box_score,D-II
09/06/2024,Molloy (ECC) vs Lynn (Sunshine State),"[0-3] (13-25, 16-25, 8-25)",https://stats.ncaa.org/contests/5668654/box_score,D-II
09/06/2024,Tex. A&M Int'l (Lone Star) vs Ferris St. (GLIAC),"[0-3] (17-25, 18-25, 16-25)",https://stats.ncaa.org/contests/5668692/box_score,D-II
09/06/2024,Lynn (Sunshine State) vs Franklin Pierce (NE10),"[3-0] (25-21, 25-14, 25-10)",https://stats.ncaa.org/contests/5668985/box_score,D-II
09/06/2024,Concordia-St. Paul (NSIC) vs Colorado Mesa (RMAC),"[1-3] (16-25, 18-25, 25-18, 26-28)",https://stats.ncaa.org/contests/5668983/box_score,D-II
09/06/2024,Truman St. (GLVC) vs Minnesota St. (NSIC),"[2-3] (16-25, 25-19, 25-19, 23-25, 11-15)",https://stats.ncaa.org/contests/5668500/box_score,D-II
09/06/2024,Catawba (SAC) vs Barton (Conference Carolinas),"[3-0] (26-24, 27-25, 25-21)",https://stats.ncaa.org/contests/5669488/box_score,D-II
09/06/2024,Regent (nan) vs Livingstone (CIAA),"[1-3] (16-25, 25-23, 15-25, 21-25)",https://stats.ncaa.org/contests/5668768/box_score,D-II
09/06/2024,Central Mo. (Mid-America Intercollegiate) vs West Tex. A&M (Lone Star),"[1-3] (15-25, 25-19, 23-25, 22-25)",https://stats.ncaa.org/contests/5668841/box_score,D-II
09/06/2024,Queens (NY) (ECC) vs Bridgeport (CACC),"[3-2] (25-22, 14-25, 25-23, 23-25, 15-6)",https://stats.ncaa.org/contests/5668815/box_score,D-II
09/06/2024,Fort Hays St. (Mid-America Intercollegiate) vs UC-Colo. Springs (RMAC),"[1-3] (18-25, 26-24, 20-25, 19-25)",https://stats.ncaa.org/contests/5668823/box_score,D-II
09/06/2024,Bowie St. (CIAA) vs Edinboro (PSAC),"[0-3] (13-25, 10-25, 17-25)",https://stats.ncaa.org/contests/5668796/box_score,D-II
09/06/2024,Tiffin (G-MAC) vs UIndy (GLVC),"[2-3] (15-25, 25-20, 15-25, 25-17, 8-15)",https://stats.ncaa.org/contests/5668872/box_score,D-II
09/06/2024,Anderson (SC) (SAC) vs Alabama Huntsville (Gulf South),"[0-3] (16-25, 21-25, 23-25)",https://stats.ncaa.org/contests/5668658/box_score,D-II
09/06/2024,Jefferson (CACC) vs Pitt.-Johnstown (PSAC),"[0-3] (17-25, 20-25, 20-25)",https://stats.ncaa.org/contests/5668667/box_score,D-II
09/06/2024,Southwestern Okla. (GAC) vs Quincy (GLVC),"[0-3] (18-25, 19-25, 18-25)",https://stats.ncaa.org/contests/5668748/box_score,D-II
09/06/2024,West Virginia St. (MEC) vs Central Mo. (Mid-America Intercollegiate),"[0-3] (17-25, 22-25, 25-27)",https://stats.ncaa.org/contests/5668414/box_score,D-II
09/06/2024,St. Mary's (TX) (Lone Star) vs Southeastern Okla. (GAC),"[3-1] (11-25, 25-22, 25-20, 25-19)",https://stats.ncaa.org/contests/5668641/box_score,D-II
09/06/2024,Findlay (G-MAC) vs Davis & Elkins (MEC),"[3-0] (25-14, 25-13, 25-15)",https://stats.ncaa.org/contests/5668645/box_score,D-II
09/06/2024,Emory & Henry (SAC) vs Eckerd (Sunshine State),"[0-3] (21-25, 17-25, 14-25)",https://stats.ncaa.org/contests/5668620/box_score,D-II
09/06/2024,Texas Woman's (Lone Star) vs Tampa (Sunshine State),"[1-3] (17-25, 25-22, 15-25, 23-25)",https://stats.ncaa.org/contests/5668839/box_score,D-II
09/06/2024,Bemidji St. (NSIC) vs Western Ore. (Great Northwest),"[1-3] (18-25, 15-25, 26-24, 18-25)",https://stats.ncaa.org/contests/5669019/box_score,D-II
09/06/2024,Allen (SIAC) vs Livingstone (CIAA),"[0-3] (22-25, 16-25, 21-25)",https://stats.ncaa.org/contests/5668928/box_score,D-II
09/06/2024,Catawba (SAC) vs Shaw (CIAA),"[0-3] (18-25, 14-25, 22-25)",https://stats.ncaa.org/contests/5668847/box_score,D-II
09/06/2024,Albany St. (GA) (SIAC) vs Georgia College (Peach Belt),"[2-3] (25-21, 18-25, 25-21, 24-26, 12-15)",https://stats.ncaa.org/contests/5668935/box_score,D-II
09/06/2024,Tex. A&M Int'l (Lone Star) vs West Tex. A&M (Lone Star),"[0-3] (20-25, 17-25, 24-26)",https://stats.ncaa.org/contests/5668507/box_score,D-II
09/06/2024,Molloy (ECC) vs St. Anselm (NE10),"[3-1] (25-18, 23-25, 25-22, 25-15)",https://stats.ncaa.org/contests/5668876/box_score,D-II
09/06/2024,N.M. Highlands (RMAC) vs Angelo St. (Lone Star),"[0-3] (14-25, 19-25, 15-25)",https://stats.ncaa.org/contests/5668504/box_score,D-II
09/06/2024,Winston-Salem (CIAA) vs Rollins (Sunshine State),"[0-3] (17-25, 16-25, 18-25)",https://stats.ncaa.org/contests/5668498/box_score,D-II
09/06/2024,Seton Hill (PSAC) vs Walsh (G-MAC),"[3-2] (13-25, 29-31, 26-24, 25-18, 15-13)",https://stats.ncaa.org/contests/5668437/box_score,D-II
09/06/2024,Nova Southeastern (Sunshine State) vs Ashland (G-MAC),"[3-1] (25-19, 25-15, 17-25, 25-16)",https://stats.ncaa.org/contests/5668826/box_score,D-II
09/06/2024,Central Okla. (Mid-America Intercollegiate) vs Angelo St. (Lone Star),"[3-2] (23-25, 25-20, 25-19, 23-25, 15-12)",https://stats.ncaa.org/contests/5668832/box_score,D-II
09/06/2024,Clark Atlanta (SIAC) vs North Greenville (Conference Carolinas),"[0-3] (27-75, 51-75, 33-75)",https://stats.ncaa.org/contests/5668448/box_score,D-II
09/06/2024,Wheeling (MEC) vs Okla. Baptist (GAC),"[1-3] (23-25, 25-19, 19-25, 21-25)",https://stats.ncaa.org/contests/5668812/box_score,D-II
09/06/2024,MSU Denver (RMAC) vs Western Wash. (Great Northwest),"[3-0] (25-14, 25-22, 25-20)",https://stats.ncaa.org/contests/5668924/box_score,D-II
09/06/2024,St. Cloud St. (NSIC) vs CSUSB (CCAA),"[3-1] (25-11, 25-16, 19-25, 25-12)",https://stats.ncaa.org/contests/5669005/box_score,D-II
09/06/2024,San Fran. St. (CCAA) vs Central Wash. (Great Northwest),"[2-3] (25-20, 19-25, 20-25, 31-29, 13-15)",https://stats.ncaa.org/contests/5668737/box_score,D-II
