team_name,team_short,conference_name,conference_short,level,division,sportRegion,school_athletic_url
University of New Hampshire,New Hampshire,America East Conference,America East,NCAA Women,I,EAST REGION,www.unhwildcats.com
New England College,New England Col.,Great Northeast Athletic Conference,Great Northeast,NCAA Women,III,REGION I,athletics.nec.edu/
University of New England,U New England,Conference of New England,CNE,NCAA Women,III,REGION II,athletics.une.edu
"University of Nevada, Reno",Nevada,Mountain West Conference,Mountain West,NCAA Women,I,WEST REGION,nevadawolfpack.com
"University of Nevada, Las Vegas",UNLV,Mountain West Conference,Mountain West,NCAA Women,I,WEST REGION,unlvrebels.com
Neumann University,Neumann,Atlantic East Conference,Atlantic East,NCAA Women,III,REGION V,www.neumannathletics.com
University of Nebraska-Lincoln,Nebraska,Big Ten Conference,Big Ten,NCAA Women,I,MIDWEST REGION,www.huskers.com
University of Nebraska at Kearney,Neb.-Kearney,Mid-America Intercollegiate Athletics Association,Mid-America Intercollegiate,NCAA Women,II,CENTRAL REGION,www.lopers.com
Nebraska Wesleyan University,Neb. Wesleyan,American Rivers Conference,American Rivers,NCAA Women,III,REGION IX,www.nwusports.com/
University of Nebraska Omaha,Omaha,The Summit League,Summit League,NCAA Women,I,MIDWEST REGION,www.omavs.com
Nazareth University,Nazareth,Empire 8,Empire 8,NCAA Women,III,REGION III,www.nazathletics.com
Muskingum University,Muskingum,Ohio Athletic Conference,OAC,NCAA Women,III,REGION VII,www.fightingmuskies.com/landing/index
Murray State University,Murray St.,Missouri Valley Conference,MVC,NCAA Women,I,MIDWEST REGION,www.goracers.com
University of Mount Union,Mount Union,Ohio Athletic Conference,OAC,NCAA Women,III,REGION VII,athletics.mountunion.edu
Mitchell College,Mitchell,Great Northeast Athletic Conference,Great Northeast,NCAA Women,III,REGION I,www.mitchellathletics.com
University of Missouri-St. Louis,Mo.-St. Louis,Great Lakes Valley Conference,GLVC,NCAA Women,II,MIDWEST REGION,umsltritons.com
University of Missouri-Kansas City,Kansas City,The Summit League,Summit League,NCAA Women,I,MIDWEST REGION,www.kcroos.com
Millikin University,Millikin,College Conference of Illinois & Wisconsin,CCIW,NCAA Women,III,REGION VIII,athletics.millikin.edu
Millersville University of Pennsylvania,Millersville,Pennsylvania State Athletic Conference,PSAC,NCAA Women,II,ATLANTIC REGION,www.millersvilleathletics.com
Miles College,Miles,Southern Intercol. Ath. Conf.,SIAC,NCAA Women,II,SOUTH REGION,milesgoldenbears.com/
Midwestern State University,Midwestern St.,Lone Star Conference,Lone Star,NCAA Women,II,SOUTH CENTRAL REGION,msumustangs.com
Middlebury College,Middlebury,New England Small College Athletic Conference,NESCAC,NCAA Women,III,REGION I,www.middlebury.edu/athletics
Middle Tennessee State University,Middle Tenn.,Conference USA,CUSA,NCAA Women,I,SOUTH REGION,www.goblueraiders.com
Michigan Technological University,Michigan Tech,Great Lakes Intercollegiate Athletic Conference,GLIAC,NCAA Women,II,MIDWEST REGION,www.michigantechhuskies.com
Michigan State University,Michigan St.,Big Ten Conference,Big Ten,NCAA Women,I,MIDWEST REGION,msuspartans.com/
University of Michigan,Michigan,Big Ten Conference,Big Ten,NCAA Women,I,MIDWEST REGION,www.mgoblue.com
Miami University (Ohio),Miami (OH),Mid-American Conference,MAC,NCAA Women,I,MIDWEST REGION,www.miamiredhawks.com
University of Miami (Florida),Miami (FL),Atlantic Coast Conference,ACC,NCAA Women,I,EAST REGION,miamihurricanes.com/
Metropolitan State University of Denver,MSU Denver,Rocky Mountain Athletic Conference,RMAC,NCAA Women,II,SOUTH CENTRAL REGION,www.RoadrunnersAthletics.com
Methodist University,Methodist,USA South Athletic Conference,USA South,NCAA Women,III,REGION VI,www.mumonarchs.com
Messiah University,Messiah,Middle Atlantic Conference Commonwealth,MAC Commonwealth,NCAA Women,III,REGION V,www.gomessiah.com
Merrimack College,Merrimack,Metro Atlantic Athletic Conference,MAAC,NCAA Women,I,EAST REGION,www.merrimackathletics.com
Millsaps College,Millsaps,Southern Athletic Association,SAA,NCAA Women,III,REGION VI,www.gomajors.com
Milwaukee School of Engineering,MSOE,Northern Athletics Collegiate Conference,NACC,NCAA Women,III,REGION VIII,go-raiders.com
"Minnesota State University, Mankato",Minnesota St.,Northern Sun Intercollegiate Conference,NSIC,NCAA Women,II,CENTRAL REGION,www.msumavericks.com
Minnesota State University Moorhead,MSU Moorhead,Northern Sun Intercollegiate Conference,NSIC,NCAA Women,II,CENTRAL REGION,msumdragons.com/
"University of Missouri, Columbia",Missouri,Southeastern Conference,SEC,NCAA Women,I,SOUTHEAST REGION,www.mutigers.com
Missouri Western State University,Missouri Western,Mid-America Intercollegiate Athletics Association,Mid-America Intercollegiate,NCAA Women,II,CENTRAL REGION,www.gogriffons.com
Missouri State University,Missouri St.,Missouri Valley Conference,MVC,NCAA Women,I,MIDWEST REGION,www.missouristatebears.com
Missouri Southern State University,Mo. Southern St.,Mid-America Intercollegiate Athletics Association,Mid-America Intercollegiate,NCAA Women,II,CENTRAL REGION,mssulions.com
Missouri University of Science and Technology,Missouri S&T,Great Lakes Valley Conference,GLVC,NCAA Women,II,MIDWEST REGION,www.minerathletics.com
Mississippi Valley State University,Mississippi Val.,Southwestern Athletic Conf.,SWAC,NCAA Women,I,SOUTH REGION,www.mvsusports.com
Mississippi University for Women,MUW,St. Louis Intercollegiate Athletic Conference,SLIAC,NCAA Women,III,REGION VIII,www.owlsathletics.com
Mercyhurst University,Mercyhurst,Northeast Conference,NEC,NCAA Women,I,,www.hurstathletics.com
Mississippi State University,Mississippi St.,Southeastern Conference,SEC,NCAA Women,I,SOUTHEAST REGION,www.hailstate.com
University of Mississippi,Ole Miss,Southeastern Conference,SEC,NCAA Women,I,SOUTHEAST REGION,www.olemisssports.com
Misericordia University,Misericordia,Middle Atlantic Conference Freedom,MAC Freedom,NCAA Women,III,REGION IV,www.misericordia.edu/athletics
Minot State University,Minot St.,Northern Sun Intercollegiate Conference,NSIC,NCAA Women,II,CENTRAL REGION,www.msubeavers.com
"University of Minnesota, Morris",Minn.-Morris,Upper Midwest Athletic Conference,UMAC,NCAA Women,III,REGION IX,www.morriscougars.com
"University of Minnesota, Twin Cities",Minnesota,Big Ten Conference,Big Ten,NCAA Women,I,MIDWEST REGION,www.gophersports.com
University of Minnesota Duluth,Minn. Duluth,Northern Sun Intercollegiate Conference,NSIC,NCAA Women,II,CENTRAL REGION,umdbulldogs.com/
"University of Minnesota, Crookston",Minn.-Crookston,Northern Sun Intercollegiate Conference,NSIC,NCAA Women,II,CENTRAL REGION,www.goldeneaglesports.com/
Mississippi College,Mississippi Col.,Gulf South Conference,Gulf South,NCAA Women,II,SOUTH REGION,www.gochoctaws.com
Lee University,Lee,Gulf South Conference,Gulf South,NCAA Women,II,SOUTH REGION,www.leeuflames.com
Lehigh University,Lehigh,Patriot League,Patriot,NCAA Women,I,EAST REGION,www.lehighsports.com
Le Moyne College,Le Moyne,Northeast Conference,NEC,NCAA Women,I,SOUTH REGION,www.lemoynedolphins.com
Gwynedd Mercy University,Gwynedd Mercy,Atlantic East Conference,Atlantic East,NCAA Women,III,REGION V,gwyneddathletics.com/
Gustavus Adolphus College,Gustavus Adolphus,Minnesota Intercollegiate Athletic Conference,MIAC,NCAA Women,III,REGION IX,www.gustavus.edu/athletics/
Guilford College,Guilford,Old Dominion Athletic Conf.,ODAC,NCAA Women,III,REGION VI,www.guilford.edu/athletics
Grove City College,Grove City,Presidents' Athletic Conference,PAC,NCAA Women,III,REGION VII,athletics.gcc.edu
Grinnell College,Grinnell,Midwest Conference,MWC,NCAA Women,III,REGION IX,pioneers.grinnell.edu/
Greenville University,Greenville,St. Louis Intercollegiate Athletic Conference,SLIAC,NCAA Women,III,REGION VIII,www.greenville.edu/athletics
Greensboro College,Greensboro,USA South Athletic Conference,USA South,NCAA Women,III,REGION VI,www.greensborocollegesports.com
Grand Valley State University,Grand Valley St.,Great Lakes Intercollegiate Athletic Conference,GLIAC,NCAA Women,II,MIDWEST REGION,gvsulakers.com
Grand Canyon University,Grand Canyon,Western Athletic Conference,WAC,NCAA Women,I,WEST REGION,www.gculopes.com
Grambling State University,Grambling,Southwestern Athletic Conf.,SWAC,NCAA Women,I,SOUTH REGION,www.gsutigers.com
Goucher College,Goucher,Landmark Conference,Landmark,NCAA Women,III,REGION V,athletics.goucher.edu/landing/index
Gordon College,Gordon,Conference of New England,CNE,NCAA Women,III,REGION II,athletics.gordon.edu/index.aspx
Gonzaga University,Gonzaga,West Coast Conference,WCC,NCAA Women,I,WEST REGION,www.gozags.com
Goldey-Beacom College,Goldey-Beacom,Central Atlantic Collegiate Conference,CACC,NCAA Women,II,EAST REGION,www.gbcathletics.com
Glenville State University,Glenville St.,Mountain East Conference,MEC,NCAA Women,II,ATLANTIC REGION,www.gscpioneers.com
Hamilton College,Hamilton,New England Small College Athletic Conference,NESCAC,NCAA Women,III,REGION I,www.hamilton.edu/athletics
Gettysburg College,Gettysburg,Centennial Conference,Centennial,NCAA Women,III,REGION V,www.gettysburgsports.com
Hamline University,Hamline,Minnesota Intercollegiate Athletic Conference,MIAC,NCAA Women,III,REGION IX,www.hamlineathletics.com
Hanover College,Hanover,Heartland Collegiate Athletic Conference,HCAC,NCAA Women,III,REGION VIII,https://athletics.hanover.edu/landing/index
Lebanon Valley College,Lebanon Valley,Middle Atlantic Conference Freedom,MAC Freedom,NCAA Women,III,REGION IV,www.godutchmen.com
Hilbert College,Hilbert,Allegheny Mountain Collegiate Conference,AMCC,NCAA Women,III,REGION VII,www.hilberthawks.com
High Point University,High Point,Big South Conference,Big South,NCAA Women,I,SOUTHEAST REGION,www.highpointpanthers.com
Hendrix College,Hendrix,Southern Athletic Association,SAA,NCAA Women,III,REGION VI,www.hendrixwarriors.com
Henderson State University,Henderson St.,Great American Conference,GAC,NCAA Women,II,CENTRAL REGION,hsusports.com
Heidelberg University,Heidelberg,Ohio Athletic Conference,OAC,NCAA Women,III,REGION VII,bergathletics.com
Hawaii Pacific University,Hawaii Pacific,Pacific West Conference,PacWest,NCAA Women,II,WEST REGION,www.hpusharks.com/
University of Hawaii at Hilo,Hawaii Hilo,Pacific West Conference,PacWest,NCAA Women,II,WEST REGION,hiloathletics.com
"University of Hawaii, Manoa",Hawaii,Big West Conference,Big West,NCAA Women,I,WEST REGION,hawaiiathletics.com
Haverford College,Haverford,Centennial Conference,Centennial,NCAA Women,III,REGION V,www.haverfordathletics.com
Harvard University,Harvard,The Ivy League,Ivy League,NCAA Women,I,EAST REGION,gocrimson.com
Hartwick College,Hartwick,Empire 8,Empire 8,NCAA Women,III,REGION III,www.hartwickhawks.com
University of Hartford,Hartford,Conference of New England,CNE,NCAA Women,III,REGION II,hartfordhawks.com
Harding University,Harding,Great American Conference,GAC,NCAA Women,II,CENTRAL REGION,www.hardingsports.com
Hardin-Simmons University,Hardin-Simmons,American Southwest Conference,ASC,NCAA Women,III,REGION X,hsuathletics.com
Hampton University,Hampton,Coastal Athletic Association,CAA,NCAA Women,I,EAST REGION,hamptonpirates.com
Georgian Court University,Georgian Court,Central Atlantic Collegiate Conference,CACC,NCAA Women,II,EAST REGION,www.gculions.com
Georgia State University,Georgia St.,Sun Belt Conference,Sun Belt,NCAA Women,I,SOUTH REGION,georgiastatesports.com
Georgia Southern University,Ga. Southern,Sun Belt Conference,Sun Belt,NCAA Women,I,SOUTH REGION,gseagles.com
Francis Marion University,Francis Marion,Conference Carolinas,Conference Carolinas,NCAA Women,II,SOUTHEAST REGION,www.fmupatriots.com
Framingham State University,Framingham St.,Massachusetts State Collegiate Athletic Conference,MASCAC,NCAA Women,III,REGION II,www.fsurams.com
Fort Valley State University,Fort Valley St.,Southern Intercol. Ath. Conf.,SIAC,NCAA Women,II,SOUTH REGION,fvsusports.com/index.aspx
Fort Lewis College,Fort Lewis,Rocky Mountain Athletic Conference,RMAC,NCAA Women,II,SOUTH CENTRAL REGION,www.goskyhawks.com
Fort Hays State University,Fort Hays St.,Mid-America Intercollegiate Athletics Association,Mid-America Intercollegiate,NCAA Women,II,CENTRAL REGION,www.fhsuathletics.com
Fordham University,Fordham,Atlantic 10 Conference,Atlantic 10,NCAA Women,I,EAST REGION,www.fordhamsports.com
Fontbonne University,Fontbonne,St. Louis Intercollegiate Athletic Conference,SLIAC,NCAA Women,III,REGION VIII,www.fontbonnegriffins.com
Florida State University,Florida St.,Atlantic Coast Conference,ACC,NCAA Women,I,EAST REGION,www.seminoles.com
Florida Southern College,Fla. Southern,Sunshine State Conference,Sunshine State,NCAA Women,II,SOUTH REGION,www.fscmocs.com
Florida International University,FIU,Conference USA,CUSA,NCAA Women,I,SOUTH REGION,www.fiusports.com
Florida Institute of Technology,Florida Tech,Sunshine State Conference,Sunshine State,NCAA Women,II,SOUTH REGION,floridatechsports.com/
Florida Gulf Coast University,FGCU,Atlantic Sun Conference,ASUN,NCAA Women,I,SOUTHEAST REGION,fgcuathletics.com/
Florida Atlantic University,Fla. Atlantic,American Athletic Conference,The American,NCAA Women,I,SOUTHEAST REGION,www.fausports.com
Florida A&M University,Florida A&M,Southwestern Athletic Conf.,SWAC,NCAA Women,I,SOUTH REGION,www.famuathletics.com/
University of Florida,Florida,Southeastern Conference,SEC,NCAA Women,I,SOUTHEAST REGION,www.floridagators.com
Franciscan University of Steubenville,Franciscan,Presidents' Athletic Conference,PAC,NCAA Women,III,REGION VII,www.franciscanathletics.com
Franklin & Marshall College,Franklin & Marshall,Centennial Conference,Centennial,NCAA Women,III,REGION V,www.godiplomats.com
Franklin College,Franklin,Heartland Collegiate Athletic Conference,HCAC,NCAA Women,III,REGION VIII,franklingrizzlies.com/landing/index
Franklin Pierce University,Franklin Pierce,Northeast-10 Conference,NE10,NCAA Women,II,EAST REGION,www.fpuravens.com/landing/index
Georgia Institute of Technology,Georgia Tech,Atlantic Coast Conference,ACC,NCAA Women,I,EAST REGION,www.ramblinwreck.com
Georgia College,Georgia College,Peach Belt Conference,Peach Belt,NCAA Women,II,SOUTHEAST REGION,www.gcsubobcats.com
University of Georgia,Georgia,Southeastern Conference,SEC,NCAA Women,I,SOUTHEAST REGION,www.georgiadogs.com
Georgetown University,Georgetown,Big East Conference,Big East,NCAA Women,I,MIDWEST REGION,guhoyas.com
George Washington University,George Washington,Atlantic 10 Conference,Atlantic 10,NCAA Women,I,EAST REGION,www.gwsports.com/index.html
George Mason University,George Mason,Atlantic 10 Conference,Atlantic 10,NCAA Women,I,EAST REGION,www.gomason.com
George Fox University,George Fox,Northwest Conference,NWC,NCAA Women,III,REGION X,www.gfubruins.com
Hiram College,Hiram,North Coast Athletic Conference,NCAC,NCAA Women,III,REGION VII,www.hiramterriers.com
Geneva College,Geneva,Presidents' Athletic Conference,PAC,NCAA Women,III,REGION VII,athletics.geneva.edu
Gardner-Webb University,Gardner-Webb,Big South Conference,Big South,NCAA Women,I,SOUTHEAST REGION,gwusports.com/
Gannon University,Gannon,Pennsylvania State Athletic Conference,PSAC,NCAA Women,II,ATLANTIC REGION,www.gannonsports.com
Gallaudet University,Gallaudet,United East Conference,United East,NCAA Women,III,REGION IV,www.gallaudetbison.com
Furman University,Furman,Southern Conference,SoCon,NCAA Women,I,SOUTHEAST REGION,www.furmanpaladins.com
Frostburg State University,Frostburg St.,Mountain East Conference,MEC,NCAA Women,II,ATLANTIC REGION,www.frostburgsports.com
Fresno Pacific University,Fresno Pacific,Pacific West Conference,PacWest,NCAA Women,II,WEST REGION,fpuathletics.com/
The State University of New York at Fredonia,Fredonia,State University of New York Athletic Conference,SUNYAC,NCAA Women,III,REGION III,www.fredoniabluedevils.com
State University of New York at Geneseo,SUNY Geneseo,Empire 8,Empire 8,NCAA Women,III,REGION III,www.geneseoknights.com
Hofstra University,Hofstra,Coastal Athletic Association,CAA,NCAA Women,I,EAST REGION,www.gohofstra.com
Hillsdale College,Hillsdale,Great Midwest Athletic Conference,G-MAC,NCAA Women,II,MIDWEST REGION,www.hillsdalechargers.com
College of the Holy Cross,Holy Cross,Patriot League,Patriot,NCAA Women,I,EAST REGION,goholycross.com/
Kenyon College,Kenyon,North Coast Athletic Conference,NCAC,NCAA Women,III,REGION VII,athletics.kenyon.edu
Kentucky Wesleyan College,Ky. Wesleyan,Great Midwest Athletic Conference,G-MAC,NCAA Women,II,MIDWEST REGION,https://kwcpanthers.com/
Kentucky State University,Kentucky St.,Southern Intercol. Ath. Conf.,SIAC,NCAA Women,II,SOUTH REGION,ksuthorobreds.com
University of Kentucky,Kentucky,Southeastern Conference,SEC,NCAA Women,I,SOUTHEAST REGION,www.ukathletics.com
Kent State University,Kent St.,Mid-American Conference,MAC,NCAA Women,I,MIDWEST REGION,www.kentstatesports.com
Kennesaw State University,Kennesaw St.,Conference USA,CUSA,NCAA Women,I,SOUTHEAST REGION,www.ksuowls.com
Keene State College,Keene St.,Little East Conference,Little East,NCAA Women,III,REGION I,www.keeneowls.com
Kean University,Kean,New Jersey Athletic Conference,NJAC,NCAA Women,III,REGION IV,www.keanathletics.com
Kansas State University,Kansas St.,Big 12 Conference,Big 12,NCAA Women,I,SOUTH REGION,www.kstatesports.com
University of Kansas,Kansas,Big 12 Conference,Big 12,NCAA Women,I,SOUTH REGION,kuathletics.com
Kalamazoo College,Kalamazoo,Michigan Intercol. Ath. Assn.,Michigan Intercol. Ath. Assn.,NCAA Women,III,REGION VII,hornets.kzoo.edu/landing/index/
Juniata College,Juniata,Landmark Conference,Landmark,NCAA Women,III,REGION V,www.juniatasports.net
Johnson C. Smith University,Johnson C. Smith,Central Intercollegiate Athletic Association,CIAA,NCAA Women,II,ATLANTIC REGION,www.goldenbullsports.com
Hollins University,Hollins,Old Dominion Athletic Conf.,ODAC,NCAA Women,III,REGION VI,www.hollinssports.com
Johns Hopkins University,Johns Hopkins,Centennial Conference,Centennial,NCAA Women,III,REGION V,www.hopkinssports.com
Keuka College,Keuka,Empire 8,Empire 8,NCAA Women,III,REGION III,www.keukaathletics.com
Keystone College,Keystone,United East Conference,United East,NCAA Women,III,REGION IV,www.gokcgiants.com
King University,King (TN),Conference Carolinas,Conference Carolinas,NCAA Women,II,SOUTHEAST REGION,www.kingtornado.com/
King's College (Pennsylvania),King's (PA),Middle Atlantic Conference Freedom,MAC Freedom,NCAA Women,III,REGION IV,www.kings.edu/athletics
Lawrence University,Lawrence,Midwest Conference,MWC,NCAA Women,III,REGION IX,vikings.lawrence.edu/index.aspx
Lasell University,Lasell,Great Northeast Athletic Conference,Great Northeast,NCAA Women,III,REGION I,laserpride.lasell.edu
Lane College,Lane,Southern Intercol. Ath. Conf.,SIAC,NCAA Women,II,SOUTH REGION,www.golcdragons.com/
Lander University,Lander,Peach Belt Conference,Peach Belt,NCAA Women,II,SOUTHEAST REGION,www.landerbearcats.com
Lancaster Bible College,Lancaster Bible,United East Conference,United East,NCAA Women,III,REGION IV,www.lbcchargers.com
Lamar University,Lamar University,Southland Conference,Southland,NCAA Women,I,SOUTH REGION,www.lamarcardinals.com
Lakeland University,Lakeland,Northern Athletics Collegiate Conference,NACC,NCAA Women,III,REGION VIII,lakelandmuskies.com/
John Jay College of Criminal Justice,John Jay,City University of New York Athletic Conference,CUNYAC,NCAA Women,III,REGION IV,www.johnjayathletics.com
Lake Superior State University,Lake Superior St.,Great Lakes Intercollegiate Athletic Conference,GLIAC,NCAA Women,II,MIDWEST REGION,lssulakers.com
Lake Erie College,Lake Erie,Great Midwest Athletic Conference,G-MAC,NCAA Women,II,MIDWEST REGION,www.lakeeriestorm.com
LaGrange College,LaGrange,Collegiate Conference of the South,CCS,NCAA Women,III,REGION VI,www.lagrangepanthers.com
Lafayette College,Lafayette,Patriot League,Patriot,NCAA Women,I,EAST REGION,www.goleopards.com
