team_name,team_short,conference_name,conference_short,level,division,sportRegion,school_athletic_url
University of La Verne,La Verne,Southern California Intercollegiate Athletic Conf.,SCIAC,NCAA Women,III,REGION X,www.leopardathletics.com
La Roche University,La Roche,Allegheny Mountain Collegiate Conference,AMCC,NCAA Women,III,REGION VII,larochesports.com
Kutztown University of Pennsylvania,Kutztown,Pennsylvania State Athletic Conference,PSAC,NCAA Women,II,ATLANTIC REGION,www.kubears.com
Knox College,Knox,Midwest Conference,MWC,NCAA Women,III,REGION IX,prairiefire.knox.edu
Lake Forest College,Lake Forest,Midwest Conference,MWC,NCAA Women,III,REGION IX,www.goforesters.com
John Carroll University,John Carroll,Ohio Athletic Conference,OAC,NCAA Women,III,REGION VII,www.jcusports.com
Johnson & Wales University (Providence),JWU (Providence),Great Northeast Athletic Conference,Great Northeast,NCAA Women,III,REGION I,providence.jwuathletics.com
University of Jamestown,Jamestown,Northern Sun Intercollegiate Conference,DII Independent,NCAA Women,II,CENTRAL REGION,jimmiepride.com
Jessup University ,Jessup,Pacific West Conference,PacWest,NCAA Women,II,WEST REGION,jessupathletics.com
Illinois College,Illinois Col.,Midwest Conference,MWC,NCAA Women,III,REGION IX,www.illinoiscollegeathletics.com/
Idaho State University,Idaho St.,Big Sky Conference,Big Sky,NCAA Women,I,WEST REGION,www.isubengals.com
University of Idaho,Idaho,Big Sky Conference,Big Sky,NCAA Women,I,WEST REGION,www.govandals.com
Husson University,Husson,North Atlantic Conference,North Atlantic,NCAA Women,III,REGION I,www.hussoneagles.com
Huntingdon College,Huntingdon,Collegiate Conference of the South,CCS,NCAA Women,III,REGION VI,www.huntingdonhawks.com
Hunter College,Hunter,City University of New York Athletic Conference,CUNYAC,NCAA Women,III,REGION IV,www.hunter.cuny.edu/athletics
Howard University,Howard,Mid-Eastern Athletic Conf.,MEAC,NCAA Women,I,SOUTHEAST REGION,www.hubison.com
Howard Payne University,Howard Payne,American Southwest Conference,ASC,NCAA Women,III,REGION X,www.hpusports.com
Houston Christian University,Houston Christian,Southland Conference,Southland,NCAA Women,I,SOUTH REGION,www.hcuhuskies.com
University of Houston,Houston,Big 12 Conference,Big 12,NCAA Women,I,SOUTH REGION,www.uhcougars.com
Houghton University,Houghton,Empire 8,Empire 8,NCAA Women,III,REGION III,athletics.houghton.edu
Hope College,Hope,Michigan Intercol. Ath. Assn.,Michigan Intercol. Ath. Assn.,NCAA Women,III,REGION VII,athletics.hope.edu
Hood College,Hood,Middle Atlantic Conference Commonwealth,MAC Commonwealth,NCAA Women,III,REGION V,www.hoodathletics.com
Holy Family University,Holy Family,Central Atlantic Collegiate Conference,CACC,NCAA Women,II,EAST REGION,athletics.holyfamily.edu
Illinois State University,Illinois St.,Missouri Valley Conference,MVC,NCAA Women,I,MIDWEST REGION,GoRedbirds.com
Illinois Wesleyan University,Ill. Wesleyan,College Conference of Illinois & Wisconsin,CCIW,NCAA Women,III,REGION VIII,www.iwusports.com
Illinois Institute of Technology,IIT,Northern Athletics Collegiate Conference,NACC,NCAA Women,III,REGION VIII,www.illinoistechathletics.com
University of Illinois Springfield,Ill. Springfield,Great Lakes Valley Conference,GLVC,NCAA Women,II,MIDWEST REGION,www.uisprairiestars.com
James Madison University,James Madison,Sun Belt Conference,Sun Belt,NCAA Women,I,SOUTH REGION,www.jmusports.com
Jacksonville University,Jacksonville,Atlantic Sun Conference,ASUN,NCAA Women,I,SOUTHEAST REGION,www.judolphins.com
Jacksonville State University,Jacksonville St.,Conference USA,CUSA,NCAA Women,I,SOUTH REGION,www.jaxstatesports.com
Jackson State University,Jackson St.,Southwestern Athletic Conf.,SWAC,NCAA Women,I,SOUTH REGION,www.gojsutigers.com
University of Illinois Chicago,UIC,Missouri Valley Conference,MVC,NCAA Women,I,MIDWEST REGION,www.uicflames.com
Iowa State University,Iowa St.,Big 12 Conference,Big 12,NCAA Women,I,SOUTH REGION,www.cyclones.com
University of Iowa,Iowa,Big Ten Conference,Big Ten,NCAA Women,I,MIDWEST REGION,www.hawkeyesports.com
Iona University,Iona,Metro Atlantic Athletic Conference,MAAC,NCAA Women,I,EAST REGION,www.ionagaels.com
Ithaca College,Ithaca,Liberty League,Liberty League,NCAA Women,III,REGION III,athletics.ithaca.edu
"Indiana University, Bloomington",Indiana,Big Ten Conference,Big Ten,NCAA Women,I,MIDWEST REGION,www.iuhoosiers.com
Indiana University of Pennsylvania,Indiana (PA),Pennsylvania State Athletic Conference,PSAC,NCAA Women,II,ATLANTIC REGION,iupathletics.com
Indiana State University,Indiana St.,Missouri Valley Conference,MVC,NCAA Women,I,MIDWEST REGION,www.gosycamores.com
Indiana University Indianapolis,IU Indy,Horizon League,Horizon,NCAA Women,I,MIDWEST REGION,iuindyjags.com/
University of the Incarnate Word,UIW,Southland Conference,Southland,NCAA Women,I,SOUTH REGION,uiwcardinals.com
Immaculata University,Immaculata,Atlantic East Conference,Atlantic East,NCAA Women,III,REGION V,www.gomightymacs.com
University of Illinois Urbana-Champaign,Illinois,Big Ten Conference,Big Ten,NCAA Women,I,MIDWEST REGION,www.fightingillini.com
University of Indianapolis,UIndy,Great Lakes Valley Conference,GLVC,NCAA Women,II,MIDWEST REGION,uindyathletics.com
New Mexico Highlands University,N.M. Highlands,Rocky Mountain Athletic Conference,RMAC,NCAA Women,II,SOUTH CENTRAL REGION,www.nmhuathletics.com
Atlanta Vibe,Vibe,PVF,PVF,Pro Women,Pro,,
Columbus Fury,Fury,PVF,PVF,Pro Women,Pro,,
Grand Rapids Rise,Rise,PVF,PVF,Pro Women,Pro,,
Indy Ignite,Ignite,PVF,PVF,Pro Women,Pro,,
Omaha Supernovas,Supernovas,PVF,PVF,Pro Women,Pro,,
Orlando Valkyries,Valkyries,PVF,PVF,Pro Women,Pro,,
Atlanta,Atlanta,LOVB,LOVB,Pro Women,Pro,,
Salt Lake,Salt Lake,LOVB,LOVB,Pro Women,Pro,,
Omaha,Omaha,LOVB,LOVB,Pro Women,Pro,,
Madison,Madison,LOVB,LOVB,Pro Women,Pro,,
Houston,Houston,LOVB,LOVB,Pro Women,Pro,,
Austin,Austin,LOVB,LOVB,Pro Women,Pro,,
San Diego Mojo,Mojo,PVF,PVF,Pro Women,Pro,,
Vegas Thrill,Thrill,PVF,PVF,Pro Women,Pro,,
