,date,match,results,box_score_url
1461,09/15/2024,Sacred Heart (MAAC) vs Army West Point (Patriot),"[1-3] (25-22, 22-25, 18-25, 15-25)",https://stats.ncaa.org/contests/5671354/box_score
1462,09/15/2024,Tennessee (SEC) vs Coastal Carolina (Sun Belt),"[3-0] (25-16, 25-18, 25-17)",https://stats.ncaa.org/contests/5671355/box_score
1463,09/15/2024,Wyoming (Mountain West) vs Colorado (Big 12),"[3-1] (20-25, 25-20, 25-19, 25-10)",https://stats.ncaa.org/contests/5671356/box_score
1464,09/15/2024,Dartmouth (Ivy League) vs UConn (Big East),"[1-3] (27-25, 16-25, 18-25, 14-25)",https://stats.ncaa.org/contests/5671357/box_score
1465,09/15/2024,Samford (SoCon) vs Baylor (Big 12),"[0-3] (13-25, 19-25, 12-25)",https://stats.ncaa.org/contests/5671358/box_score
1466,09/15/2024,Creighton (Big East) vs Louisville (ACC),"[2-3] (18-25, 20-25, 25-10, 25-15, 8-15)",https://stats.ncaa.org/contests/5671359/box_score
1467,09/15/2024,UCF (Big 12) vs Florida St. (ACC),"[1-3] (16-25, 20-25, 25-23, 17-25)",https://stats.ncaa.org/contests/5671360/box_score
1468,09/15/2024,Louisiana (Sun Belt) vs Texas A&M (SEC),"[0-3] (14-25, 18-25, 16-25)",https://stats.ncaa.org/contests/5671361/box_score
1469,09/15/2024,Little Rock (OVC) vs Ole Miss (SEC),"[0-3] (20-25, 19-25, 18-25)",https://stats.ncaa.org/contests/5671362/box_score
1470,09/15/2024,Villanova (Big East) vs Fairfield (MAAC),"[3-1] (20-25, 25-21, 25-22, 25-16)",https://stats.ncaa.org/contests/5671363/box_score
1471,09/15/2024,Wake Forest (ACC) vs South Carolina (SEC),"[3-1] (25-23, 21-25, 25-17, 25-18)",https://stats.ncaa.org/contests/5671364/box_score
1472,09/15/2024,Howard (MEAC) vs Delaware (CAA),"[2-3] (18-25, 19-25, 29-27, 25-21, 13-15)",https://stats.ncaa.org/contests/5671365/box_score
1473,09/15/2024,Pacific (WCC) vs Grand Canyon (WAC),"[3-1] (26-24, 25-19, 14-25, 26-24)",https://stats.ncaa.org/contests/5671366/box_score
1474,09/15/2024,Portland St. (Big Sky) vs Butler (Big East),"[3-1] (25-17, 25-20, 23-25, 25-21)",https://stats.ncaa.org/contests/5671368/box_score
1475,09/15/2024,Iona (MAAC) vs Hampton (CAA),"[3-0] (25-15, 25-23, 27-25)",https://stats.ncaa.org/contests/5671369/box_score
